"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","1",-0.1425,51.615,2011-09-16,"False Alarm","Barnet","Southgate",319,"Southgate","1122334332444",50,0.06
"Friday","1",-0.1425,51.615,2011-09-16,"False Alarm","Barnet","Southgate",319,"Southgate","1122334332444",93,0.07
"Friday","11",-0.141,51.615,2013-01-11,"Special Service","Barnet","Southgate",355,"Southgate","1122334332444",334,0.09
"Friday","11",-0.141,51.615,2013-01-11,"Special Service","Barnet","Southgate",355,"Southgate","1122334332444",164,0.08
"Friday","14",-0.1425,51.615,2012-08-03,"False Alarm","Barnet","Southgate",412,"Finchley","1122334332444",286,0.08
"Friday","14",-0.1425,51.615,2012-08-03,"False Alarm","Barnet","Southgate",412,"Finchley","1122334332444",156,0.08
"Friday","19",-0.1425,51.615,2012-04-20,"Fire","Barnet","Southgate",240,"Southgate","1122334332444",367,0.1
"Friday","19",-0.1425,51.615,2012-04-20,"Fire","Barnet","Southgate",240,"Southgate","1122334332444",199,0.09
"Friday","19",-0.1425,51.615,2009-09-25,"False Alarm","Barnet","Southgate",301,"Southgate","1122334332444",367,0.09
"Friday","19",-0.1425,51.615,2009-09-25,"False Alarm","Barnet","Southgate",301,"Southgate","1122334332444",199,0.08
"Friday","2",-0.1425,51.615,2012-04-06,"False Alarm","Barnet","Southgate",344,"Southgate","1122334332444",87,0.07
"Friday","2",-0.1425,51.615,2012-04-06,"False Alarm","Barnet","Southgate",344,"Southgate","1122334332444",45,0.06
"Friday","20",-0.1425,51.615,2011-12-09,"False Alarm","Barnet","Southgate",286,"Southgate","1122334332444",314,0.09
"Friday","20",-0.1425,51.615,2011-12-09,"False Alarm","Barnet","Southgate",286,"Southgate","1122334332444",155,0.08
"Friday","21",-0.1425,51.615,2012-06-15,"Special Service","Barnet","Southgate",291,"Southgate","1122334332444",140,0.08
