"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","12",0.1245,51.437,2012-06-15,"Special Service","Bexley","Bexley",469,"Bexley","1122333211341",11.131643206344,0.04
"Friday","17",0.1245,51.437,2011-04-15,"Fire","Bexley","Bexley",457,"Bexley","1122333211341",16.6974648095161,0.04
"Friday","18",0.123,51.438,2010-10-08,"Special Service","Bexley","Bexley",429,"Bexley","1122333211341",18.7846479107056,0.04
"Friday","20",0.1245,51.435,2009-06-05,"Fire","Bexley","Bexley",459,"Bexley","1122333211341",11.131643206344,0.04
"Friday","23",0.123,51.438,2009-07-17,"Fire","Bexley","Bexley",451,"Bexley","1122333211341",8.34873240475803,0.03
"Monday","15",0.123,51.438,2011-06-27,"Special Service","Bexley","Bexley",364,"Sidcup","1122333211341",13.2188263075335,0.04
"Monday","18",0.1245,51.436,2012-02-06,"False Alarm","Bexley","Bexley",435,"Sidcup","1122333211341",18.7846479107056,0.04
"Monday","18",0.1215,51.438,2012-08-27,"Special Service","Bexley","Bexley",467,"Bexley","1122333211341",18.7846479107056,0.04
"Monday","21",0.123,51.437,2011-06-27,"Special Service","Bexley","Bexley",468,"Bexley","1122333211341",11.131643206344,0.04
"Saturday","17",0.1215,51.436,2012-11-17,"False Alarm","Bexley","Bexley",431,"Bexley","1122333211341",14.6102817083266,0.04
"Saturday","22",0.1245,51.437,2011-10-15,"False Alarm","Bexley","Bexley",356,"Bexley","1122333211341",9.74018780555104,0.04
"Sunday","16",0.1215,51.436,2011-03-13,"Fire","Bexley","Sidcup",354,"Sidcup","1122333211341",11.131643206344,0.04
"Sunday","18",0.123,51.438,2012-04-01,"False Alarm","Bexley","Bexley",293,"Sidcup","1122333211341",11.8273709067405,0.04
"Thursday","1",0.123,51.438,2009-01-01,"False Alarm","Bexley","Bexley",552,"Bexley","1122333211341",3.47863850198251,0.02
"Thursday","7",0.1245,51.436,2009-01-08,"Special Service","Bexley","Bexley",683,"Bexley","1122333211341",14.6102817083266,0.04
"Thursday","17",0.123,51.438,2009-07-30,"Special Service","Bexley","Bexley",478,"Bexley","1122333211341",16.0017371091196,0.04
"Tuesday","9",0.1215,51.438,2011-11-15,"Special Service","Bexley","Bexley",471,"Bexley","1122333211341",11.131643206344,0.04
"Tuesday","19",0.123,51.437,2009-06-30,"False Alarm","Bexley","Bexley",408,"Sidcup","1122333211341",13.9145540079301,0.04
"Tuesday","21",0.1245,51.437,2012-05-01,"Special Service","Bexley","Bexley",466,"Bexley","1122333211341",10.4359155059475,0.04
"Wednesday","0",0.1245,51.437,2011-06-22,"Special Service","Bexley","Bexley",431,"Bexley","1122333211341",4.17436620237902,0.02
"Friday","7",0.15,51.481,2012-02-03,"False Alarm","Bexley","Erith",237,"Erith","112233324214",43.8723451795442,0.06
"Friday","7",0.153,51.481,2010-08-13,"False Alarm","Bexley","Erith",109,"Erith","112233324214",43.8723451795442,0.07
"Friday","8",0.1485,51.48,2009-09-25,"False Alarm","Bexley","Erith",262,"Erith","112233324214",49.4434366309149,0.06
"Friday","9",0.1485,51.482,2009-06-26,"False Alarm","Bexley","Erith",177,"Erith","112233324214",41.4349926695695,0.06
"Friday","9",0.15,51.481,2009-12-11,"False Alarm","Bexley","Erith",176,"Erith","112233324214",41.4349926695695,0.07
"Friday","10",0.15,51.481,2009-11-13,"False Alarm","Bexley","Erith",195,"Erith","112233324214",40.3904130224375,0.06
"Friday","12",0.1485,51.48,2009-06-12,"False Alarm","Bexley","Erith",168,"Erith","112233324214",45.6133112580976,0.07
"Friday","12",0.15,51.481,2009-05-15,"False Alarm","Bexley","Erith",354,"Erith","112233324214",45.6133112580976,0.06
"Friday","12",0.15,51.481,2012-05-04,"False Alarm","Bexley","Erith",248,"Erith","112233324214",45.6133112580976,0.06
