"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","1",-0.054,51.419,2011-06-03,"Fire","Bromley","Beckenham",18,"Beckenham","1122333111223",2.08635825121235,0.03
"Friday","3",-0.051,51.419,2009-07-17,"False Alarm","Bromley","Beckenham",313,"Beckenham","1122333111223",2.08635825121235,0.02
"Friday","4",-0.0525,51.419,2011-06-03,"Fire","Bromley","Beckenham",372,"Forest Hill","1122333111223",2.08635825121235,0.02
"Friday","17",-0.051,51.418,2009-05-15,"False Alarm","Bromley","Beckenham",479,"Forest Hill","1122333111223",13.2136022576782,0.04
"Friday","23",-0.051,51.419,2009-07-10,"Fire","Bromley","Beckenham",284,"Beckenham","1122333111223",4.86816925282882,0.03
"Monday","0",-0.0525,51.419,2011-02-21,"Special Service","Bromley","Beckenham",333,"Beckenham","1122333111223",2.78181100161647,0.02
"Monday","8",-0.0495,51.418,2009-03-02,"False Alarm","Bromley","Beckenham",309,"Beckenham","1122333111223",13.9090550080823,0.04
"Monday","11",-0.0495,51.418,2009-06-01,"Special Service","Bromley","Beckenham",278,"Beckenham","1122333111223",6.25907475363705,0.03
"Monday","13",-0.0495,51.419,2011-02-07,"Fire","Bromley","Beckenham",299,"Beckenham","1122333111223",4.86816925282882,0.03
"Monday","16",-0.054,51.42,2010-05-31,"Special Service","Bromley","Beckenham",390,"Forest Hill","1122333111223",8.3454330048494,0.03
"Monday","16",-0.054,51.418,2012-04-09,"Fire","Bromley","Beckenham",272,"Beckenham","1122333111223",8.3454330048494,0.04
"Monday","18",-0.0525,51.419,2011-11-28,"False Alarm","Bromley","Beckenham",291,"Beckenham","1122333111223",13.9090550080823,0.04
"Monday","19",-0.0525,51.419,2012-11-19,"Special Service","Bromley","Beckenham",268,"Beckenham","1122333111223",10.4317912560617,0.04
"Monday","20",-0.054,51.419,2012-02-13,"Special Service","Bromley","Beckenham",383,"Beckenham","1122333111223",9.04088575525351,0.03
"Monday","22",-0.051,51.418,2011-06-06,"False Alarm","Bromley","Beckenham",370,"Forest Hill","1122333111223",5.56362200323293,0.03
"Monday","22",-0.054,51.419,2011-11-07,"Fire","Bromley","Beckenham",307,"Beckenham","1122333111223",5.56362200323293,0.03
"Monday","23",-0.048,51.418,2009-08-31,"False Alarm","Bromley","Forest Hill",373,"Forest Hill","1122333111223",4.1727165024247,0.02
