"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","0",-0.093,51.516,2009-02-13,"Special Service","City of London","Dowgate",283,"Dowgate","11223331444111",530,0.1
"Friday","0",-0.093,51.516,2009-02-13,"Special Service","City of London","Dowgate",283,"Dowgate","11223331444111",251,0.09
"Friday","12",-0.096,51.515,2009-08-28,"Special Service","City of London","Dowgate",209,"Dowgate","11223331444111",6911,0.15
"Friday","12",-0.096,51.515,2009-08-28,"Special Service","City of London","Dowgate",209,"Dowgate","11223331444111",5364,0.14
"Friday","13",-0.093,51.515,2013-03-29,"Special Service","City of London","Dowgate",243,"Dowgate","11223331444111",6473,0.14
"Friday","13",-0.093,51.515,2013-03-29,"Special Service","City of London","Dowgate",243,"Dowgate","11223331444111",5324,0.14
"Friday","14",-0.093,51.515,2010-06-18,"False Alarm","City of London","Dowgate",359,"Southwark","11223331444111",4354,0.13
"Friday","14",-0.093,51.515,2010-06-18,"False Alarm","City of London","Dowgate",359,"Southwark","11223331444111",5419,0.13
"Friday","18",-0.096,51.515,2009-11-20,"False Alarm","City of London","Dowgate",291,"Shoreditch","11223331444111",4327,0.13
"Friday","18",-0.096,51.515,2009-11-20,"False Alarm","City of London","Dowgate",291,"Shoreditch","11223331444111",3058,0.13
"Friday","19",-0.0945,51.517,2012-05-11,"False Alarm","City of London","Dowgate",316,"Dowgate","11223331444111",3008,0.12
"Friday","19",-0.0945,51.517,2012-05-11,"False Alarm","City of London","Dowgate",316,"Dowgate","11223331444111",1954,0.12
"Friday","5",-0.096,51.515,2011-06-17,"False Alarm","City of London","Dowgate",358,"Southwark","11223331444111",137,0.08
"Friday","5",-0.096,51.515,2011-06-17,"False Alarm","City of London","Dowgate",358,"Southwark","11223331444111",195,0.08
"Friday","6",-0.0945,51.517,2012-05-11,"False Alarm","City of London","Dowgate",318,"Dowgate","11223331444111",513,0.1
"Friday","6",-0.0945,51.517,2012-05-11,"False Alarm","City of London","Dowgate",318,"Dowgate","11223331444111",393,0.09
