"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","0",-0.099,51.372,2009-04-24,"False Alarm","Croydon","Croydon",232,"Croydon","1122331332322",139.64306458719,0.08
"Friday","1",-0.099,51.374,2011-01-28,"False Alarm","Croydon","Croydon",286,"Croydon","1122331332322",101.4322757698,0.07
"Friday","1",-0.1005,51.373,2010-08-20,"False Alarm","Croydon","Croydon",176,"Croydon","1122331332322",101.4322757698,0.08
"Friday","1",-0.1005,51.372,2011-04-22,"False Alarm","Croydon","Croydon",401,"Croydon","1122331332322",101.4322757698,0.07
"Friday","1",-0.1005,51.372,2011-04-22,"False Alarm","Croydon","Croydon",249,"Croydon","1122331332322",101.4322757698,0.08
"Friday","1",-0.1005,51.372,2011-12-30,"False Alarm","Croydon","Croydon",278,"Croydon","1122331332322",101.4322757698,0.07
"Friday","2",-0.099,51.373,2009-08-28,"Fire","Croydon","Croydon",339,"Croydon","1122331332322",78.5058024793654,0.07
"Friday","2",-0.1005,51.373,2009-01-23,"False Alarm","Croydon","Croydon",336,"Croydon","1122331332322",78.5058024793654,0.07
"Friday","2",-0.099,51.372,2011-03-11,"False Alarm","Croydon","Croydon",260,"Croydon","1122331332322",78.5058024793654,0.07
"Friday","2",-0.096,51.373,2012-04-27,"False Alarm","Croydon","Croydon",237,"Croydon","1122331332322",78.5058024793654,0.07
"Friday","4",-0.1005,51.374,2011-06-03,"False Alarm","Croydon","Croydon",275,"Croydon","1122331332322",56.9688124186545,0.06
"Friday","4",-0.0975,51.373,2009-10-09,"Fire","Croydon","Croydon",418,"Croydon","1122331332322",56.9688124186545,0.06
"Friday","5",-0.1005,51.374,2009-05-15,"False Alarm","Croydon","Croydon",300,"Croydon","1122331332322",70.8636447158873,0.07
"Friday","7",-0.099,51.373,2009-04-03,"Special Service","Croydon","Croydon",371,"Croydon","1122331332322",320.970626066078,0.09
"Friday","7",-0.1005,51.374,2011-10-28,"False Alarm","Croydon","Croydon",282,"Croydon","1122331332322",320.970626066078,0.09
"Friday","7",-0.1005,51.373,2012-06-01,"False Alarm","Croydon","Croydon",235,"Croydon","1122331332322",320.970626066078,0.09
"Friday","8",-0.1005,51.372,2010-10-08,"Special Service","Croydon","Croydon",260,"Croydon","1122331332322",501.603445930104,0.1
"Friday","9",-0.1005,51.374,2010-01-01,"False Alarm","Croydon","Croydon",214,"Croydon","1122331332322",464.087398727576,0.1
"Friday","9",-0.1005,51.374,2011-01-14,"False Alarm","Croydon","Croydon",262,"Croydon","1122331332322",464.087398727576,0.1
"Friday","9",-0.0975,51.373,2011-12-16,"False Alarm","Croydon","Croydon",177,"Croydon","1122331332322",464.087398727576,0.11
"Friday","10",-0.1005,51.374,2009-03-06,"False Alarm","Croydon","Croydon",177,"Croydon","1122331332322",506.466637234136,0.11
