"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","17",-0.303,51.527,2011-11-25,"Fire","Ealing","Ealing",445,"Ealing","1122334133343",105.262509426343,0.07
"Friday","23",-0.303,51.527,2009-03-27,"False Alarm","Ealing","Ealing",410,"Ealing","1122334133343",45.3116762431279,0.06
"Saturday","1",-0.3015,51.527,2012-08-11,"Special Service","Ealing","Ealing",596,"Ealing","1122334133343",23.7014921887131,0.05
"Sunday","2",-0.303,51.527,2010-01-10,"Special Service","Ealing","Ealing",595,"Ealing","1122334133343",21.6101840544148,0.04
"Sunday","5",-0.303,51.528,2009-07-12,"Special Service","Ealing","Ealing",416,"Ealing","1122334133343",15.3362596515202,0.04
"Sunday","16",-0.303,51.526,2010-12-26,"Special Service","Ealing","Ealing",514,"Ealing","1122334133343",82.258119949063,0.06
"Sunday","20",-0.303,51.527,2010-04-18,"Fire","Ealing","Ealing",395,"Ealing","1122334133343",67.6189630089755,0.06
"Thursday","5",-0.303,51.528,2009-01-01,"False Alarm","Ealing","Ealing",470,"Ealing","1122334133343",19.5188759201166,0.04
"Wednesday","10",-0.306,51.527,2011-08-31,"Fire","Ealing","Ealing",831,"Ealing","1122334133343",78.7726063918993,0.06
"Wednesday","12",-0.3045,51.526,2009-10-28,"Special Service","Ealing","Ealing",547,"Ealing","1122334133343",73.1957847004374,0.06
"Wednesday","13",-0.306,51.527,2011-03-23,"Fire","Ealing","Ealing",454,"Ealing","1122334133343",52.979806068888,0.06
"Wednesday","16",-0.306,51.526,2010-03-31,"Special Service","Ealing","Ealing",507,"Ealing","1122334133343",88.5320443519576,0.06
"Friday","0",-0.336,51.554,2010-07-09,"Fire","Ealing","Northolt",681,"Northolt","1122334422441",39.0593744443665,0.05
"Friday","18",-0.3315,51.553,2012-03-02,"Fire","Ealing","Wembley",362,"Wembley","1122334422441",122.758033968009,0.07
"Monday","11",-0.3345,51.551,2009-12-07,"False Alarm","Ealing","Northolt",873,"Wembley","1122334422441",69.0513941070051,0.06
"Monday","19",-0.3315,51.553,2012-02-13,"Special Service","Ealing","Wembley",362,"Northolt","1122334422441",106.01830206328,0.07
"Monday","20",-0.336,51.554,2011-03-28,"Fire","Ealing","Northolt",510,"Northolt","1122334422441",85.7911260117336,0.06
"Monday","22",-0.3315,51.551,2012-05-28,"Fire","Ealing","Northolt",277,"Northolt","1122334422441",66.2614387895503,0.07
"Saturday","4",-0.3315,51.551,2011-03-19,"False Alarm","Ealing","Northolt",305,"Northolt","1122334422441",27.8995531745475,0.05
"Saturday","12",-0.333,51.553,2011-06-18,"False Alarm","Ealing","Northolt",279,"Northolt","1122334422441",97.6484361109162,0.07
"Saturday","16",-0.336,51.552,2011-01-22,"False Alarm","Ealing","Northolt",285,"Northolt","1122334422441",99.7409025990073,0.07
"Sunday","10",-0.333,51.553,2012-04-29,"False Alarm","Ealing","Northolt",395,"Wembley","1122334422441",72.5388382538235,0.06
"Sunday","17",-0.3345,51.552,2012-02-26,"Fire","Ealing","Northolt",305,"Northolt","1122334422441",92.7660143053704,0.07
"Thursday","7",-0.336,51.553,2009-01-01,"Special Service","Ealing","Northolt",361,"Northolt","1122334422441",82.3036818649151,0.07
"Thursday","15",-0.3345,51.552,2009-12-24,"False Alarm","Ealing","Northolt",290,"Wembley","1122334422441",86.4886148410972,0.07
"Thursday","16",-0.336,51.554,2013-03-28,"False Alarm","Ealing","Northolt",456,"Northolt","1122334422441",94.8584807934615,0.07
"Thursday","17",-0.336,51.554,2010-06-03,"Fire","Ealing","Northolt",508,"Northolt","1122334422441",111.59821269819,0.07
"Thursday","20",-0.3345,51.554,2012-09-06,"False Alarm","Ealing","Northolt",393,"Northolt","1122334422441",87.1861036704609,0.07
"Wednesday","16",-0.336,51.554,2009-04-29,"Fire","Ealing","Northolt",224,"Northolt","1122334422441",99.0434137696436,0.08
"Friday","7",-0.3375,51.541,2009-01-30,"False Alarm","Ealing","Northolt",626,"Northolt","1122334421233",79.4948540763286,0.06
"Friday","8",-0.3375,51.542,2011-03-04,"Fire","Ealing","Northolt",428,"Northolt","1122334421233",94.8359662664973,0.07
"Friday","9",-0.339,51.541,2011-09-23,"False Alarm","Ealing","Northolt",303,"Northolt","1122334421233",78.100207513586,0.07
"Friday","19",-0.3405,51.541,2011-07-01,"False Alarm","Ealing","Northolt",344,"Northolt","1122334421233",110.874401738037,0.07
"Friday","19",-0.3375,51.542,2013-03-15,"False Alarm","Ealing","Northolt",387,"Northolt","1122334421233",110.874401738037,0.07
"Monday","7",-0.3405,51.541,2010-06-28,"False Alarm","Ealing","Northolt",460,"Northolt","1122334421233",76.7055609508434,0.06
"Monday","9",-0.3405,51.541,2009-09-28,"False Alarm","Ealing","Northolt",355,"Northolt","1122334421233",88.5600567341556,0.07
"Monday","15",-0.339,51.541,2011-04-18,"Fire","Ealing","Northolt",506,"Northolt","1122334421233",105.993138768438,0.07
