"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","11",0.027,51.464,2011-12-02,"False Alarm","Greenwich","Lee Green",415,"Eltham","1122333124314",171,0.08
"Friday","11",0.027,51.464,2011-12-02,"False Alarm","Greenwich","Lee Green",415,"Eltham","1122333124314",13,0.04
"Friday","13",0.024,51.463,2011-02-25,"False Alarm","Greenwich","Lee Green",267,"Lee Green","1122333124314",13,0.04
"Friday","13",0.024,51.463,2011-02-25,"False Alarm","Greenwich","Lee Green",267,"Lee Green","1122333124314",166,0.08
"Friday","14",0.027,51.464,2012-01-06,"False Alarm","Greenwich","Lee Green",312,"Lee Green","1122333124314",12,0.04
"Friday","14",0.027,51.464,2012-01-06,"False Alarm","Greenwich","Lee Green",312,"Lee Green","1122333124314",188,0.08
"Friday","16",0.024,51.463,2009-03-13,"False Alarm","Greenwich","Lee Green",248,"Lee Green","1122333124314",16,0.05
"Friday","16",0.024,51.463,2009-03-13,"False Alarm","Greenwich","Lee Green",248,"Lee Green","1122333124314",258,0.09
"Friday","17",0.0255,51.461,2012-02-24,"Fire","Greenwich","Lee Green",261,"Lee Green","1122333124314",314,0.09
"Friday","17",0.0255,51.461,2012-02-24,"Fire","Greenwich","Lee Green",261,"Lee Green","1122333124314",17,0.05
"Friday","19",0.024,51.461,2011-03-11,"False Alarm","Greenwich","Lee Green",427,"Eltham","1122333124314",15,0.04
"Friday","19",0.024,51.461,2011-03-11,"False Alarm","Greenwich","Lee Green",427,"Eltham","1122333124314",228,0.08
"Friday","2",0.027,51.464,2012-05-04,"False Alarm","Greenwich","Lee Green",379,"Lee Green","1122333124314",38,0.06
"Friday","2",0.027,51.464,2012-05-04,"False Alarm","Greenwich","Lee Green",379,"Lee Green","1122333124314",3,0.02
"Friday","20",0.027,51.464,2011-11-04,"False Alarm","Greenwich","Lee Green",249,"Lee Green","1122333124314",12,0.04
"Friday","20",0.027,51.464,2011-11-04,"False Alarm","Greenwich","Lee Green",249,"Lee Green","1122333124314",168,0.08
"Friday","22",0.024,51.462,2011-02-25,"Fire","Greenwich","Lee Green",189,"Lee Green","1122333124314",150,0.09
"Friday","22",0.024,51.462,2011-02-25,"Fire","Greenwich","Lee Green",189,"Lee Green","1122333124314",9,0.04
"Friday","7",0.024,51.463,2009-02-06,"False Alarm","Greenwich","Lee Green",276,"Lee Green","1122333124314",290,0.09
"Friday","7",0.024,51.463,2009-02-06,"False Alarm","Greenwich","Lee Green",276,"Lee Green","1122333124314",13,0.04
"Friday","7",0.024,51.461,2010-05-21,"Special Service","Greenwich","Lee Green",349,"Lee Green","1122333124314",290,0.09
"Friday","7",0.024,51.461,2010-05-21,"Special Service","Greenwich","Lee Green",349,"Lee Green","1122333124314",13,0.04
"Friday","8",0.024,51.462,2010-11-05,"False Alarm","Greenwich","Lee Green",418,"Lewisham","1122333124314",329,0.09
"Friday","8",0.024,51.462,2010-11-05,"False Alarm","Greenwich","Lee Green",418,"Lewisham","1122333124314",15,0.04
"Monday","13",0.03,51.463,2013-02-25,"Special Service","Greenwich","Lee Green",912,"Eltham","1122333124314",96,0.06
"Monday","13",0.03,51.463,2013-02-25,"Special Service","Greenwich","Lee Green",912,"Eltham","1122333124314",148,0.07
"Monday","14",0.0285,51.461,2013-01-28,"Fire","Greenwich","Lee Green",201,"Lee Green","1122333124314",95,0.08
"Monday","14",0.0285,51.461,2013-01-28,"Fire","Greenwich","Lee Green",201,"Lee Green","1122333124314",174,0.09
"Monday","16",0.027,51.464,2011-12-19,"False Alarm","Greenwich","Lee Green",246,"Lee Green","1122333124314",120,0.08
"Monday","16",0.027,51.464,2011-12-19,"False Alarm","Greenwich","Lee Green",246,"Lee Green","1122333124314",242,0.09
"Monday","18",0.027,51.464,2011-11-14,"False Alarm","Greenwich","Lee Green",315,"East Greenwich","1122333124314",141,0.08
"Monday","18",0.027,51.464,2011-11-14,"False Alarm","Greenwich","Lee Green",315,"East Greenwich","1122333124314",331,0.09
"Monday","19",0.0285,51.461,2009-05-11,"Special Service","Greenwich","Lee Green",220,"Lee Green","1122333124314",242,0.09
"Monday","19",0.0285,51.461,2009-05-11,"Special Service","Greenwich","Lee Green",220,"Lee Green","1122333124314",116,0.08
"Monday","19",0.027,51.464,2012-01-16,"Fire","Greenwich","Lee Green",304,"Lee Green","1122333124314",242,0.09
"Monday","19",0.027,51.464,2012-01-16,"Fire","Greenwich","Lee Green",304,"Lee Green","1122333124314",116,0.07
"Monday","23",0.03,51.463,2010-02-08,"False Alarm","Greenwich","Lee Green",392,"Lee Green","1122333124314",93,0.07
"Monday","23",0.03,51.463,2010-02-08,"False Alarm","Greenwich","Lee Green",392,"Lee Green","1122333124314",52,0.06
"Monday","6",0.024,51.463,2012-10-22,"False Alarm","Greenwich","Lee Green",289,"Lee Green","1122333124314",67,0.07
"Monday","6",0.024,51.463,2012-10-22,"False Alarm","Greenwich","Lee Green",289,"Lee Green","1122333124314",168,0.08
"Saturday","13",0.0285,51.461,2011-09-17,"Special Service","Greenwich","Lee Green",226,"Lee Green","1122333124314",13,0.04
"Saturday","13",0.0285,51.461,2011-09-17,"Special Service","Greenwich","Lee Green",226,"Lee Green","1122333124314",229,0.09
"Saturday","13",0.027,51.464,2011-12-24,"Fire","Greenwich","Lee Green",280,"Lee Green","1122333124314",13,0.04
