"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","0",-0.21,51.489,2009-10-30,"Fire","Hammersmith and Fulham","Hammersmith",326,"Hammersmith","11223342423113",89,0.07
"Friday","0",-0.21,51.489,2009-10-30,"Fire","Hammersmith and Fulham","Hammersmith",326,"Hammersmith","11223342423113",134,0.08
"Friday","1",-0.213,51.489,2013-02-01,"False Alarm","Hammersmith and Fulham","Hammersmith",207,"Hammersmith","11223342423113",50,0.07
"Friday","1",-0.213,51.489,2013-02-01,"False Alarm","Hammersmith and Fulham","Hammersmith",207,"Hammersmith","11223342423113",70,0.07
"Friday","10",-0.213,51.489,2012-01-27,"Special Service","Hammersmith and Fulham","Hammersmith",215,"Hammersmith","11223342423113",195,0.09
"Friday","10",-0.213,51.489,2012-01-27,"Special Service","Hammersmith and Fulham","Hammersmith",215,"Hammersmith","11223342423113",178,0.09
"Friday","19",-0.21,51.489,2009-11-13,"Fire","Hammersmith and Fulham","Hammersmith",179,"Hammersmith","11223342423113",340,0.1
"Friday","19",-0.21,51.489,2009-11-13,"Fire","Hammersmith and Fulham","Hammersmith",179,"Hammersmith","11223342423113",270,0.1
"Friday","3",-0.21,51.489,2011-08-19,"Special Service","Hammersmith and Fulham","Hammersmith",380,"Hammersmith","11223342423113",61,0.06
"Friday","3",-0.21,51.489,2011-08-19,"Special Service","Hammersmith and Fulham","Hammersmith",380,"Hammersmith","11223342423113",36,0.05
"Friday","4",-0.213,51.489,2011-07-15,"Special Service","Hammersmith and Fulham","Hammersmith",248,"Hammersmith","11223342423113",45,0.06
"Friday","4",-0.213,51.489,2011-07-15,"Special Service","Hammersmith and Fulham","Hammersmith",248,"Hammersmith","11223342423113",61,0.07
"Friday","5",-0.21,51.489,2012-06-01,"False Alarm","Hammersmith and Fulham","Hammersmith",314,"Hammersmith","11223342423113",45,0.06
"Friday","5",-0.21,51.489,2012-06-01,"False Alarm","Hammersmith and Fulham","Hammersmith",314,"Hammersmith","11223342423113",64,0.07
"Monday","14",-0.21,51.489,2009-06-22,"False Alarm","Hammersmith and Fulham","Hammersmith",267,"Hammersmith","11223342423113",201,0.09
"Monday","14",-0.21,51.489,2009-06-22,"False Alarm","Hammersmith and Fulham","Hammersmith",267,"Hammersmith","11223342423113",176,0.08
"Monday","20",-0.21,51.489,2012-04-30,"Special Service","Hammersmith and Fulham","Hammersmith",321,"Hammersmith","11223342423113",206,0.08
"Monday","20",-0.21,51.489,2012-04-30,"Special Service","Hammersmith and Fulham","Hammersmith",321,"Hammersmith","11223342423113",231,0.08
"Monday","23",-0.213,51.489,2009-09-14,"False Alarm","Hammersmith and Fulham","Hammersmith",346,"Hammersmith","11223342423113",100,0.07
"Monday","23",-0.213,51.489,2009-09-14,"False Alarm","Hammersmith and Fulham","Hammersmith",346,"Hammersmith","11223342423113",223,0.08
"Saturday","0",-0.21,51.489,2011-07-02,"Fire","Hammersmith and Fulham","Hammersmith",342,"Hammersmith","11223342423113",153,0.08
"Saturday","0",-0.21,51.489,2011-07-02,"Fire","Hammersmith and Fulham","Hammersmith",342,"Hammersmith","11223342423113",170,0.08
"Saturday","0",-0.2115,51.49,2010-03-13,"False Alarm","Hammersmith and Fulham","Hammersmith",256,"Hammersmith","11223342423113",153,0.08
"Saturday","0",-0.2115,51.49,2010-03-13,"False Alarm","Hammersmith and Fulham","Hammersmith",256,"Hammersmith","11223342423113",170,0.08
"Saturday","10",-0.213,51.488,2009-01-03,"Fire","Hammersmith and Fulham","Hammersmith",217,"Hammersmith","11223342423113",120,0.08
"Saturday","10",-0.213,51.488,2009-01-03,"Fire","Hammersmith and Fulham","Hammersmith",217,"Hammersmith","11223342423113",203,0.09
"Saturday","13",-0.213,51.489,2013-01-26,"False Alarm","Hammersmith and Fulham","Hammersmith",391,"Hammersmith","11223342423113",150,0.08
"Saturday","13",-0.213,51.489,2013-01-26,"False Alarm","Hammersmith and Fulham","Hammersmith",391,"Hammersmith","11223342423113",259,0.08
"Saturday","15",-0.213,51.489,2010-01-23,"False Alarm","Hammersmith and Fulham","Hammersmith",204,"Hammersmith","11223342423113",231,0.09
"Saturday","15",-0.213,51.489,2010-01-23,"False Alarm","Hammersmith and Fulham","Hammersmith",204,"Hammersmith","11223342423113",148,0.08
"Saturday","16",-0.2115,51.489,2011-06-25,"Special Service","Hammersmith and Fulham","Hammersmith",249,"Hammersmith","11223342423113",148,0.08
"Saturday","16",-0.2115,51.489,2011-06-25,"Special Service","Hammersmith and Fulham","Hammersmith",249,"Hammersmith","11223342423113",256,0.09
"Saturday","18",-0.21,51.489,2011-11-05,"Fire","Hammersmith and Fulham","Hammersmith",295,"Hammersmith","11223342423113",156,0.08
"Saturday","18",-0.21,51.489,2011-11-05,"Fire","Hammersmith and Fulham","Hammersmith",295,"Hammersmith","11223342423113",290,0.09
"Saturday","18",-0.21,51.489,2011-11-12,"Special Service","Hammersmith and Fulham","Hammersmith",284,"Hammersmith","11223342423113",156,0.08
"Saturday","18",-0.21,51.489,2011-11-12,"Special Service","Hammersmith and Fulham","Hammersmith",284,"Hammersmith","11223342423113",290,0.09
"Saturday","19",-0.21,51.489,2009-08-29,"Special Service","Hammersmith and Fulham","Hammersmith",220,"Hammersmith","11223342423113",245,0.09
"Saturday","19",-0.21,51.489,2009-08-29,"Special Service","Hammersmith and Fulham","Hammersmith",220,"Hammersmith","11223342423113",137,0.08
"Saturday","19",-0.21,51.489,2012-10-20,"Special Service","Hammersmith and Fulham","Hammersmith",317,"Hammersmith","11223342423113",245,0.09
"Saturday","19",-0.21,51.489,2012-10-20,"Special Service","Hammersmith and Fulham","Hammersmith",317,"Hammersmith","11223342423113",137,0.08
"Saturday","2",-0.2115,51.489,2009-07-25,"Fire","Hammersmith and Fulham","Hammersmith",306,"Hammersmith","11223342423113",50,0.06
"Saturday","2",-0.2115,51.489,2009-07-25,"Fire","Hammersmith and Fulham","Hammersmith",306,"Hammersmith","11223342423113",61,0.06
"Saturday","6",-0.2115,51.489,2009-07-25,"Fire","Hammersmith and Fulham","Hammersmith",448,"Hammersmith","11223342423113",95,0.07
"Saturday","6",-0.2115,51.489,2009-07-25,"Fire","Hammersmith and Fulham","Hammersmith",448,"Hammersmith","11223342423113",50,0.06
"Sunday","11",-0.21,51.489,2009-11-22,"Special Service","Hammersmith and Fulham","Hammersmith",804,"Wandsworth","11223342423113",109,0.06
"Sunday","11",-0.21,51.489,2009-11-22,"Special Service","Hammersmith and Fulham","Hammersmith",804,"Wandsworth","11223342423113",181,0.07
"Sunday","11",-0.2115,51.489,2013-02-03,"Special Service","Hammersmith and Fulham","Hammersmith",382,"Hammersmith","11223342423113",109,0.07
"Sunday","11",-0.2115,51.489,2013-02-03,"Special Service","Hammersmith and Fulham","Hammersmith",382,"Hammersmith","11223342423113",181,0.08
"Sunday","13",-0.2115,51.489,2010-06-06,"Special Service","Hammersmith and Fulham","Hammersmith",233,"Hammersmith","11223342423113",215,0.09
"Sunday","13",-0.2115,51.489,2010-06-06,"Special Service","Hammersmith and Fulham","Hammersmith",233,"Hammersmith","11223342423113",123,0.08
"Sunday","18",-0.2115,51.489,2011-12-18,"Special Service","Hammersmith and Fulham","Hammersmith",342,"Hammersmith","11223342423113",159,0.08
"Sunday","18",-0.2115,51.489,2011-12-18,"Special Service","Hammersmith and Fulham","Hammersmith",342,"Hammersmith","11223342423113",284,0.09
"Sunday","19",-0.213,51.489,2011-06-12,"Special Service","Hammersmith and Fulham","Hammersmith",677,"Hammersmith","11223342423113",223,0.07
"Sunday","19",-0.213,51.489,2011-06-12,"Special Service","Hammersmith and Fulham","Hammersmith",677,"Hammersmith","11223342423113",176,0.07
"Sunday","23",-0.213,51.489,2010-11-14,"Special Service","Hammersmith and Fulham","Hammersmith",282,"Hammersmith","11223342423113",81,0.07
"Sunday","23",-0.213,51.489,2010-11-14,"Special Service","Hammersmith and Fulham","Hammersmith",282,"Hammersmith","11223342423113",117,0.08
"Sunday","9",-0.21,51.488,2012-09-30,"False Alarm","Hammersmith and Fulham","Hammersmith",236,"Hammersmith","11223342423113",78,0.07
"Sunday","9",-0.21,51.488,2012-09-30,"False Alarm","Hammersmith and Fulham","Hammersmith",236,"Hammersmith","11223342423113",142,0.08
"Thursday","1",-0.2115,51.489,2011-05-12,"Fire","Hammersmith and Fulham","Hammersmith",240,"Hammersmith","11223342423113",53,0.07
"Thursday","1",-0.2115,51.489,2011-05-12,"Fire","Hammersmith and Fulham","Hammersmith",240,"Hammersmith","11223342423113",61,0.07
"Thursday","13",-0.21,51.488,2011-10-20,"False Alarm","Hammersmith and Fulham","Hammersmith",335,"Hammersmith","11223342423113",220,0.08
"Thursday","13",-0.21,51.488,2011-10-20,"False Alarm","Hammersmith and Fulham","Hammersmith",335,"Hammersmith","11223342423113",215,0.08
"Thursday","21",-0.21,51.488,2011-12-08,"Special Service","Hammersmith and Fulham","Hammersmith",376,"Hammersmith","11223342423113",228,0.08
"Thursday","21",-0.21,51.488,2011-12-08,"Special Service","Hammersmith and Fulham","Hammersmith",376,"Hammersmith","11223342423113",226,0.08
"Thursday","21",-0.2115,51.489,2012-08-30,"Special Service","Hammersmith and Fulham","Hammersmith",244,"Hammersmith","11223342423113",228,0.09
"Thursday","21",-0.2115,51.489,2012-08-30,"Special Service","Hammersmith and Fulham","Hammersmith",244,"Hammersmith","11223342423113",226,0.09
"Thursday","22",-0.21,51.489,2009-12-03,"Special Service","Hammersmith and Fulham","Hammersmith",401,"Hammersmith","11223342423113",189,0.08
"Thursday","22",-0.21,51.489,2009-12-03,"Special Service","Hammersmith and Fulham","Hammersmith",401,"Hammersmith","11223342423113",228,0.08
"Thursday","4",-0.21,51.489,2009-01-01,"Special Service","Hammersmith and Fulham","Hammersmith",323,"Hammersmith","11223342423113",53,0.06
"Thursday","4",-0.21,51.489,2009-01-01,"Special Service","Hammersmith and Fulham","Hammersmith",323,"Hammersmith","11223342423113",42,0.06
"Thursday","4",-0.21,51.489,2012-11-29,"False Alarm","Hammersmith and Fulham","Hammersmith",314,"Hammersmith","11223342423113",53,0.06
"Thursday","4",-0.21,51.489,2012-11-29,"False Alarm","Hammersmith and Fulham","Hammersmith",314,"Hammersmith","11223342423113",42,0.06
"Thursday","6",-0.2115,51.49,2009-01-01,"Fire","Hammersmith and Fulham","Hammersmith",303,"Hammersmith","11223342423113",117,0.07
"Thursday","6",-0.2115,51.49,2009-01-01,"Fire","Hammersmith and Fulham","Hammersmith",303,"Hammersmith","11223342423113",92,0.07
"Thursday","8",-0.2115,51.489,2009-01-08,"Special Service","Hammersmith and Fulham","Hammersmith",345,"Hammersmith","11223342423113",418,0.09
"Thursday","8",-0.2115,51.489,2009-01-08,"Special Service","Hammersmith and Fulham","Hammersmith",345,"Hammersmith","11223342423113",396,0.09
"Tuesday","10",-0.2115,51.489,2009-09-29,"Special Service","Hammersmith and Fulham","Hammersmith",259,"Hammersmith","11223342423113",206,0.09
"Tuesday","10",-0.2115,51.489,2009-09-29,"Special Service","Hammersmith and Fulham","Hammersmith",259,"Hammersmith","11223342423113",187,0.08
"Tuesday","14",-0.21,51.489,2009-04-14,"Special Service","Hammersmith and Fulham","Hammersmith",281,"Hammersmith","11223342423113",217,0.09
"Tuesday","14",-0.21,51.489,2009-04-14,"Special Service","Hammersmith and Fulham","Hammersmith",281,"Hammersmith","11223342423113",209,0.09
"Tuesday","14",-0.21,51.489,2009-12-15,"False Alarm","Hammersmith and Fulham","Hammersmith",458,"Hammersmith","11223342423113",217,0.08
"Tuesday","14",-0.21,51.489,2009-12-15,"False Alarm","Hammersmith and Fulham","Hammersmith",458,"Hammersmith","11223342423113",209,0.08
"Tuesday","16",-0.213,51.489,2009-12-22,"False Alarm","Hammersmith and Fulham","Hammersmith",219,"Hammersmith","11223342423113",273,0.09
"Tuesday","16",-0.213,51.489,2009-12-22,"False Alarm","Hammersmith and Fulham","Hammersmith",219,"Hammersmith","11223342423113",306,0.1
"Tuesday","20",-0.21,51.489,2013-02-05,"False Alarm","Hammersmith and Fulham","Hammersmith",274,"Hammersmith","11223342423113",248,0.09
"Tuesday","20",-0.21,51.489,2013-02-05,"False Alarm","Hammersmith and Fulham","Hammersmith",274,"Hammersmith","11223342423113",220,0.09
"Tuesday","21",-0.21,51.489,2013-01-22,"False Alarm","Hammersmith and Fulham","Hammersmith",253,"Hammersmith","11223342423113",226,0.09
"Tuesday","21",-0.21,51.489,2013-01-22,"False Alarm","Hammersmith and Fulham","Hammersmith",253,"Hammersmith","11223342423113",240,0.09
"Tuesday","21",-0.21,51.488,2011-10-25,"False Alarm","Hammersmith and Fulham","Hammersmith",239,"Hammersmith","11223342423113",226,0.09
"Tuesday","21",-0.21,51.488,2011-10-25,"False Alarm","Hammersmith and Fulham","Hammersmith",239,"Hammersmith","11223342423113",240,0.09
"Tuesday","9",-0.2115,51.489,2011-04-19,"False Alarm","Hammersmith and Fulham","Hammersmith",293,"Hammersmith","11223342423113",273,0.09
"Tuesday","9",-0.2115,51.489,2011-04-19,"False Alarm","Hammersmith and Fulham","Hammersmith",293,"Hammersmith","11223342423113",270,0.09
"Wednesday","10",-0.2115,51.489,2010-04-14,"Fire","Hammersmith and Fulham","Hammersmith",424,"Hammersmith","11223342423113",212,0.08
"Wednesday","10",-0.2115,51.489,2010-04-14,"Fire","Hammersmith and Fulham","Hammersmith",424,"Hammersmith","11223342423113",189,0.08
"Wednesday","10",-0.213,51.489,2010-05-12,"Special Service","Hammersmith and Fulham","Hammersmith",227,"Hammersmith","11223342423113",212,0.09
"Wednesday","10",-0.213,51.489,2010-05-12,"Special Service","Hammersmith and Fulham","Hammersmith",227,"Hammersmith","11223342423113",189,0.09
"Wednesday","11",-0.2115,51.489,2011-12-07,"Fire","Hammersmith and Fulham","Hammersmith",231,"Hammersmith","11223342423113",198,0.09
"Wednesday","11",-0.2115,51.489,2011-12-07,"Fire","Hammersmith and Fulham","Hammersmith",231,"Hammersmith","11223342423113",206,0.09
