"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","0",-0.3795,51.593,2011-07-15,"Fire","Harrow","Harrow",285,"Harrow","1122334431114",13,0.04
"Friday","0",-0.3795,51.593,2011-07-15,"Fire","Harrow","Harrow",285,"Harrow","1122334431114",12,0.04
"Friday","0",-0.3795,51.591,2011-04-08,"False Alarm","Harrow","Harrow",997,"Harrow","1122334431114",13,0.03
"Friday","0",-0.3795,51.591,2011-04-08,"False Alarm","Harrow","Harrow",997,"Harrow","1122334431114",12,0.03
"Friday","11",-0.3795,51.591,2009-02-27,"False Alarm","Harrow","Harrow",475,"Northolt","1122334431114",52,0.06
"Friday","11",-0.3795,51.591,2009-02-27,"False Alarm","Harrow","Harrow",475,"Northolt","1122334431114",52,0.06
"Friday","13",-0.3795,51.592,2011-12-02,"Special Service","Harrow","Harrow",201,"Harrow","1122334431114",57,0.07
"Friday","13",-0.3795,51.592,2011-12-02,"Special Service","Harrow","Harrow",201,"Harrow","1122334431114",46,0.07
"Friday","16",-0.381,51.592,2011-01-28,"Fire","Harrow","Harrow",467,"Harrow","1122334431114",54,0.06
"Friday","16",-0.381,51.592,2011-01-28,"Fire","Harrow","Harrow",467,"Harrow","1122334431114",52,0.06
"Friday","17",-0.3795,51.591,2010-08-13,"False Alarm","Harrow","Harrow",189,"Harrow","1122334431114",57,0.07
"Friday","17",-0.3795,51.591,2010-08-13,"False Alarm","Harrow","Harrow",189,"Harrow","1122334431114",49,0.07
"Friday","18",-0.381,51.592,2010-10-08,"Special Service","Harrow","Harrow",344,"Harrow","1122334431114",50,0.06
"Friday","18",-0.381,51.592,2010-10-08,"Special Service","Harrow","Harrow",344,"Harrow","1122334431114",47,0.06
"Friday","18",-0.3795,51.591,2013-02-01,"False Alarm","Harrow","Harrow",234,"Harrow","1122334431114",50,0.06
"Friday","18",-0.3795,51.591,2013-02-01,"False Alarm","Harrow","Harrow",234,"Harrow","1122334431114",47,0.06
"Friday","18",-0.381,51.592,2010-06-04,"Fire","Harrow","Harrow",704,"Northolt","1122334431114",50,0.05
"Friday","18",-0.381,51.592,2010-06-04,"Fire","Harrow","Harrow",704,"Northolt","1122334431114",47,0.05
"Friday","19",-0.3795,51.591,2010-07-30,"False Alarm","Harrow","Harrow",271,"Harrow","1122334431114",47,0.06
"Friday","19",-0.3795,51.591,2010-07-30,"False Alarm","Harrow","Harrow",271,"Harrow","1122334431114",42,0.06
"Friday","2",-0.3795,51.591,2009-01-23,"False Alarm","Harrow","Harrow",276,"Harrow","1122334431114",10,0.04
"Friday","2",-0.3795,51.591,2009-01-23,"False Alarm","Harrow","Harrow",276,"Harrow","1122334431114",9,0.04
"Friday","21",-0.3795,51.591,2011-07-08,"Fire","Harrow","Harrow",219,"Harrow","1122334431114",33,0.06
"Friday","21",-0.3795,51.591,2011-07-08,"Fire","Harrow","Harrow",219,"Harrow","1122334431114",29,0.06
"Friday","23",-0.3795,51.593,2012-06-15,"False Alarm","Harrow","Harrow",232,"Harrow","1122334431114",22,0.05
"Friday","23",-0.3795,51.593,2012-06-15,"False Alarm","Harrow","Harrow",232,"Harrow","1122334431114",22,0.05
"Friday","7",-0.3795,51.591,2010-04-30,"False Alarm","Harrow","Harrow",211,"Harrow","1122334431114",33,0.06
"Friday","7",-0.3795,51.591,2010-04-30,"False Alarm","Harrow","Harrow",211,"Harrow","1122334431114",28,0.06
"Friday","8",-0.3795,51.591,2009-07-31,"False Alarm","Harrow","Harrow",191,"Harrow","1122334431114",44,0.07
"Friday","8",-0.3795,51.591,2009-07-31,"False Alarm","Harrow","Harrow",191,"Harrow","1122334431114",41,0.06
"Friday","9",-0.381,51.592,2009-01-16,"False Alarm","Harrow","Harrow",385,"Harrow","1122334431114",47,0.06
"Friday","9",-0.381,51.592,2009-01-16,"False Alarm","Harrow","Harrow",385,"Harrow","1122334431114",45,0.06
"Friday","9",-0.381,51.592,2009-01-16,"False Alarm","Harrow","Harrow",229,"Harrow","1122334431114",47,0.06
"Friday","9",-0.381,51.592,2009-01-16,"False Alarm","Harrow","Harrow",229,"Harrow","1122334431114",45,0.06
"Monday","1",-0.3795,51.591,2009-08-17,"False Alarm","Harrow","Harrow",377,"Northolt","1122334431114",14,0.04
"Monday","1",-0.3795,51.591,2009-08-17,"False Alarm","Harrow","Harrow",377,"Northolt","1122334431114",9,0.03
"Monday","1",-0.381,51.594,2010-02-08,"False Alarm","Harrow","Harrow",276,"Harrow","1122334431114",14,0.04
"Monday","1",-0.381,51.594,2010-02-08,"False Alarm","Harrow","Harrow",276,"Harrow","1122334431114",9,0.04
"Monday","17",-0.3795,51.591,2009-01-05,"False Alarm","Harrow","Harrow",207,"Harrow","1122334431114",57,0.07
"Monday","17",-0.3795,51.591,2009-01-05,"False Alarm","Harrow","Harrow",207,"Harrow","1122334431114",53,0.07
"Monday","18",-0.3795,51.591,2011-08-22,"False Alarm","Harrow","Harrow",790,"Wembley","1122334431114",48,0.05
"Monday","18",-0.3795,51.591,2011-08-22,"False Alarm","Harrow","Harrow",790,"Wembley","1122334431114",46,0.05
"Monday","19",-0.381,51.594,2012-09-10,"Fire","Harrow","Harrow",229,"Harrow","1122334431114",43,0.06
"Monday","19",-0.381,51.594,2012-09-10,"Fire","Harrow","Harrow",229,"Harrow","1122334431114",38,0.06
"Monday","20",-0.3795,51.591,2010-07-26,"False Alarm","Harrow","Harrow",300,"Harrow","1122334431114",34,0.06
"Monday","20",-0.3795,51.591,2010-07-26,"False Alarm","Harrow","Harrow",300,"Harrow","1122334431114",38,0.06
"Monday","23",-0.3795,51.593,2010-03-15,"False Alarm","Harrow","Harrow",250,"Harrow","1122334431114",16,0.05
"Monday","23",-0.3795,51.593,2010-03-15,"False Alarm","Harrow","Harrow",250,"Harrow","1122334431114",13,0.04
"Monday","3",-0.381,51.594,2009-05-04,"Fire","Harrow","Harrow",268,"Harrow","1122334431114",10,0.04
"Monday","3",-0.381,51.594,2009-05-04,"Fire","Harrow","Harrow",268,"Harrow","1122334431114",10,0.04
"Monday","3",-0.381,51.594,2010-02-08,"False Alarm","Harrow","Harrow",298,"Harrow","1122334431114",10,0.04
"Monday","3",-0.381,51.594,2010-02-08,"False Alarm","Harrow","Harrow",298,"Harrow","1122334431114",10,0.04
"Monday","4",-0.3795,51.593,2012-09-17,"False Alarm","Harrow","Harrow",339,"Harrow","1122334431114",8,0.03
"Monday","4",-0.3795,51.593,2012-09-17,"False Alarm","Harrow","Harrow",339,"Harrow","1122334431114",13,0.04
"Monday","7",-0.3795,51.591,2009-04-13,"False Alarm","Harrow","Harrow",245,"Harrow","1122334431114",34,0.06
"Monday","7",-0.3795,51.591,2009-04-13,"False Alarm","Harrow","Harrow",245,"Harrow","1122334431114",26,0.05
