"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","1",0.2175,51.609,2012-11-09,"Special Service","Havering","Harold Hill",356,"Harold Hill","1122333331341",28,0.05
"Friday","1",0.2175,51.609,2012-11-09,"Special Service","Havering","Harold Hill",356,"Harold Hill","1122333331341",6,0.03
"Friday","13",0.216,51.611,2011-05-06,"Special Service","Havering","Harold Hill",416,"Harold Hill","1122333331341",16,0.04
"Friday","13",0.216,51.611,2011-05-06,"Special Service","Havering","Harold Hill",416,"Harold Hill","1122333331341",43,0.06
"Friday","13",0.2175,51.612,2011-11-04,"False Alarm","Havering","Harold Hill",379,"Harold Hill","1122333331341",16,0.04
"Friday","13",0.2175,51.612,2011-11-04,"False Alarm","Havering","Harold Hill",379,"Harold Hill","1122333331341",43,0.06
"Friday","18",0.2205,51.609,2009-09-18,"Fire","Havering","Harold Hill",121,"Romford","1122333331341",68,0.08
"Friday","18",0.2205,51.609,2009-09-18,"Fire","Havering","Harold Hill",121,"Romford","1122333331341",19,0.06
"Friday","20",0.2205,51.61,2009-09-11,"Fire","Havering","Harold Hill",404,"Romford","1122333331341",55,0.06
"Friday","20",0.2205,51.61,2009-09-11,"Fire","Havering","Harold Hill",404,"Romford","1122333331341",15,0.04
"Friday","8",0.216,51.609,2009-01-16,"False Alarm","Havering","Harold Hill",473,"Romford","1122333331341",13,0.04
"Friday","8",0.216,51.609,2009-01-16,"False Alarm","Havering","Harold Hill",473,"Romford","1122333331341",48,0.06
"Monday","17",0.216,51.61,2009-03-02,"Fire","Havering","Harold Hill",572,"Romford","1122333331341",64,0.06
"Monday","17",0.216,51.61,2009-03-02,"Fire","Havering","Harold Hill",572,"Romford","1122333331341",15,0.04
"Monday","20",0.216,51.611,2010-05-17,"Fire","Havering","Harold Hill",258,"Harold Hill","1122333331341",64,0.07
"Monday","20",0.216,51.611,2010-05-17,"Fire","Havering","Harold Hill",258,"Harold Hill","1122333331341",14,0.04
"Monday","20",0.216,51.611,2010-05-17,"False Alarm","Havering","Harold Hill",261,"Harold Hill","1122333331341",64,0.07
"Monday","20",0.216,51.611,2010-05-17,"False Alarm","Havering","Harold Hill",261,"Harold Hill","1122333331341",14,0.04
