"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","1",-0.444,51.531,2012-07-06,"False Alarm","Hillingdon","Hillingdon",202,"Hillingdon","1122334411212",15,0.05
"Friday","7",-0.444,51.531,2011-12-09,"Fire","Hillingdon","Hillingdon",214,"Hillingdon","1122334411212",28,0.06
"Friday","11",-0.4455,51.529,2010-07-09,"Special Service","Hillingdon","Hillingdon",312,"Hillingdon","1122334411212",22,0.05
"Friday","17",-0.444,51.529,2009-09-25,"Special Service","Hillingdon","Hillingdon",145,"Hillingdon","1122334411212",29,0.06
"Friday","18",-0.4455,51.53,2010-11-12,"False Alarm","Hillingdon","Hillingdon",134,"Hillingdon","1122334411212",31,0.06
"Friday","20",-0.4455,51.532,2009-11-06,"Fire","Hillingdon","Hillingdon",263,"Hillingdon","1122334411212",35,0.06
"Friday","22",-0.447,51.53,2011-02-11,"False Alarm","Hillingdon","Hillingdon",172,"Hillingdon","1122334411212",22,0.05
"Monday","0",-0.4455,51.529,2010-04-26,"Special Service","Hillingdon","Hillingdon",252,"Hillingdon","1122334411212",20,0.05
"Monday","7",-0.447,51.532,2011-11-28,"Fire","Hillingdon","Hillingdon",150,"Hillingdon","1122334411212",20,0.05
"Monday","7",-0.4455,51.529,2010-12-27,"False Alarm","Hillingdon","Hillingdon",187,"Hillingdon","1122334411212",20,0.05
"Monday","10",-0.447,51.532,2011-11-28,"Special Service","Hillingdon","Hillingdon",202,"Hillingdon","1122334411212",19,0.05
"Monday","14",-0.444,51.531,2010-04-05,"False Alarm","Hillingdon","Hillingdon",258,"Hillingdon","1122334411212",20,0.05
"Monday","18",-0.4485,51.53,2011-11-07,"False Alarm","Hillingdon","Hillingdon",170,"Hillingdon","1122334411212",29,0.06
"Monday","19",-0.4455,51.529,2011-07-11,"Special Service","Hillingdon","Hillingdon",144,"Hillingdon","1122334411212",24,0.06
"Monday","20",-0.4455,51.529,2011-04-11,"Special Service","Hillingdon","Hillingdon",433,"Hayes","1122334411212",27,0.05
"Saturday","0",-0.447,51.531,2011-10-01,"Fire","Hillingdon","Hillingdon",228,"Hillingdon","1122334411212",23,0.05
"Saturday","3",-0.447,51.532,2009-01-03,"False Alarm","Hillingdon","Hillingdon",283,"Hillingdon","1122334411212",15,0.04
"Saturday","4",-0.4455,51.532,2012-08-11,"False Alarm","Hillingdon","Hillingdon",625,"Hillingdon","1122334411212",11,0.03
"Saturday","9",-0.4455,51.531,2010-02-13,"Special Service","Hillingdon","Hillingdon",528,"Southall","1122334411212",19,0.04
"Saturday","11",-0.4485,51.531,2013-02-23,"Special Service","Hillingdon","Hillingdon",137,"Hillingdon","1122334411212",27,0.06
"Saturday","18",-0.4485,51.53,2009-11-14,"Special Service","Hillingdon","Hillingdon",1187,"Hillingdon","1122334411212",33,0.04
"Saturday","18",-0.444,51.531,2011-11-26,"Special Service","Hillingdon","Hillingdon",192,"Hillingdon","1122334411212",33,0.06
"Saturday","19",-0.4485,51.531,2012-09-08,"Fire","Hillingdon","Hillingdon",165,"Hillingdon","1122334411212",29,0.06
"Saturday","19",-0.444,51.531,2012-09-22,"False Alarm","Hillingdon","Hillingdon",183,"Hillingdon","1122334411212",29,0.06
"Sunday","0",-0.4455,51.529,2011-09-18,"Fire","Hillingdon","Hillingdon",124,"Hillingdon","1122334411212",20,0.06
"Sunday","1",-0.447,51.531,2010-03-21,"Special Service","Hillingdon","Hillingdon",319,"Hillingdon","1122334411212",20,0.05
"Sunday","14",-0.4485,51.531,2012-04-08,"False Alarm","Hillingdon","Hillingdon",136,"Hillingdon","1122334411212",26,0.06
"Sunday","15",-0.4485,51.531,2009-08-16,"Special Service","Hillingdon","Hillingdon",138,"Hillingdon","1122334411212",20,0.06
"Sunday","18",-0.4485,51.531,2012-04-08,"Fire","Hillingdon","Hillingdon",143,"Hillingdon","1122334411212",25,0.06
"Sunday","20",-0.444,51.529,2011-07-03,"Fire","Hillingdon","Hillingdon",177,"Hillingdon","1122334411212",23,0.06
"Sunday","22",-0.4455,51.529,2011-10-02,"Fire","Hillingdon","Hillingdon",112,"Hillingdon","1122334411212",31,0.07
"Sunday","23",-0.447,51.532,2010-09-19,"Fire","Hillingdon","Hillingdon",327,"Hillingdon","1122334411212",32,0.05
"Thursday","0",-0.447,51.533,2009-01-01,"Fire","Hillingdon","Hillingdon",210,"Hillingdon","1122334411212",17,0.05
"Thursday","2",-0.447,51.532,2010-09-09,"Fire","Hillingdon","Hillingdon",263,"Hillingdon","1122334411212",15,0.04
"Thursday","7",-0.4485,51.53,2010-04-08,"Special Service","Hillingdon","Hillingdon",121,"Hillingdon","1122334411212",26,0.06
"Thursday","11",-0.444,51.53,2009-10-29,"Fire","Hillingdon","Hillingdon",474,"Hillingdon","1122334411212",22,0.05
