"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Monday","14",-0.351,51.459,2012-05-07,"Fire","Hounslow","Heston",351,"Heston","1122334124312",6,0.03
"Monday","19",-0.348,51.459,2011-08-01,"Fire","Hounslow","Heston",296,"Heston","1122334124312",8,0.04
"Saturday","9",-0.348,51.458,2009-02-14,"False Alarm","Hounslow","Heston",290,"Heston","1122334124312",7,0.03
"Saturday","10",-0.3525,51.457,2010-11-06,"False Alarm","Hounslow","Heston",700,"Feltham","1122334124312",8,0.03
"Saturday","18",-0.348,51.46,2009-07-04,"Fire","Hounslow","Heston",371,"Twickenham","1122334124312",8,0.03
"Saturday","21",-0.348,51.46,2012-02-11,"Special Service","Hounslow","Heston",418,"Heston","1122334124312",6,0.03
"Sunday","16",-0.3495,51.46,2012-10-07,"Fire","Hounslow","Heston",299,"Heston","1122334124312",8,0.03
"Sunday","16",-0.351,51.459,2011-07-10,"Fire","Hounslow","Heston",269,"Heston","1122334124312",8,0.03
"Thursday","0",-0.351,51.461,2009-01-01,"Fire","Hounslow","Heston",342,"Heston","1122334124312",4,0.03
"Thursday","3",-0.351,51.459,2012-05-24,"Fire","Hounslow","Heston",296,"Heston","1122334124312",3,0.02
"Thursday","3",-0.351,51.458,2012-05-24,"Fire","Hounslow","Heston",7,"Heston","1122334124312",3,0.06
"Thursday","6",-0.351,51.46,2012-05-24,"Fire","Hounslow","Heston",384,"Heston","1122334124312",6,0.03
"Thursday","21",-0.351,51.459,2010-03-18,"False Alarm","Hounslow","Heston",378,"Heston","1122334124312",8,0.03
"Tuesday","16",-0.351,51.46,2011-03-22,"False Alarm","Hounslow","Heston",350,"Heston","1122334124312",8,0.03
"Tuesday","19",-0.348,51.458,2012-10-02,"False Alarm","Hounslow","Heston",322,"Heston","1122334124312",8,0.03
"Tuesday","21",-0.348,51.457,2009-10-20,"Fire","Hounslow","Heston",787,"Heston","1122334124312",8,0.03
"Wednesday","2",-0.3495,51.46,2009-12-16,"Fire","Hounslow","Heston",467,"Heston","1122334124312",3,0.02
"Wednesday","5",-0.3525,51.459,2011-08-31,"Fire","Hounslow","Heston",400,"Heston","1122334124312",4,0.02
"Wednesday","8",-0.351,51.46,2010-04-21,"Fire","Hounslow","Heston",273,"Heston","1122334124312",7,0.03
"Friday","1",-0.354,51.476,2011-07-29,"False Alarm","Hounslow","Heston",275,"Heston","1122334131214",40,0.06
"Friday","9",-0.3585,51.475,2012-02-10,"Fire","Hounslow","Heston",220,"Heston","1122334131214",126,0.08
"Friday","16",-0.357,51.478,2013-01-11,"Special Service","Hounslow","Heston",254,"Heston","1122334131214",168,0.08
"Friday","16",-0.3555,51.476,2011-05-20,"Fire","Hounslow","Heston",186,"Heston","1122334131214",168,0.09
"Friday","17",-0.3585,51.476,2011-10-28,"Fire","Hounslow","Heston",358,"Heston","1122334131214",182,0.08
"Friday","21",-0.36,51.475,2010-04-09,"Special Service","Hounslow","Heston",243,"Heston","1122334131214",118,0.08
"Monday","13",-0.36,51.477,2009-11-02,"Special Service","Hounslow","Heston",350,"Heston","1122334131214",107,0.07
"Monday","14",-0.36,51.475,2010-10-25,"Special Service","Hounslow","Heston",416,"Heston","1122334131214",132,0.07
"Monday","18",-0.3585,51.476,2010-08-02,"Fire","Hounslow","Heston",471,"Feltham","1122334131214",190,0.08
"Monday","18",-0.3585,51.476,2011-09-26,"Fire","Hounslow","Heston",687,"Heston","1122334131214",190,0.07
"Monday","19",-0.357,51.478,2009-08-31,"Fire","Hounslow","Heston",257,"Heston","1122334131214",152,0.08
"Saturday","23",-0.357,51.479,2010-08-07,"Special Service","Hounslow","Heston",319,"Heston","1122334131214",83,0.07
"Sunday","12",-0.357,51.478,2010-08-01,"False Alarm","Hounslow","Heston",261,"Heston","1122334131214",148,0.08
"Sunday","13",-0.36,51.477,2010-03-21,"Fire","Hounslow","Heston",234,"Heston","1122334131214",156,0.08
"Sunday","18",-0.357,51.479,2011-09-25,"False Alarm","Hounslow","Heston",509,"Heston","1122334131214",139,0.07
"Sunday","20",-0.357,51.477,2010-04-04,"Fire","Hounslow","Heston",344,"Heston","1122334131214",120,0.07
"Sunday","21",-0.36,51.477,2011-11-27,"False Alarm","Hounslow","Heston",289,"Heston","1122334131214",107,0.07
"Thursday","0",-0.36,51.475,2009-01-01,"Fire","Hounslow","Heston",595,"Feltham","1122334131214",51,0.06
"Thursday","19",-0.357,51.478,2012-12-20,"False Alarm","Hounslow","Heston",194,"Heston","1122334131214",162,0.09
"Thursday","23",-0.36,51.475,2009-07-30,"Special Service","Hounslow","Heston",270,"Heston","1122334131214",72,0.07
"Tuesday","7",-0.36,51.477,2010-10-05,"Fire","Hounslow","Heston",290,"Heston","1122334131214",123,0.08
"Tuesday","8",-0.3585,51.478,2011-08-09,"False Alarm","Hounslow","Heston",541,"Southall","1122334131214",150,0.07
"Tuesday","17",-0.36,51.475,2009-08-18,"Fire","Hounslow","Heston",215,"Heston","1122334131214",173,0.09
"Wednesday","22",-0.36,51.475,2012-06-20,"False Alarm","Hounslow","Heston",245,"Heston","1122334131214",88,0.07
"Friday","0",-0.4245,51.445,2010-07-30,"Fire","Hounslow","Feltham",349,"Feltham","1122334113112",17,0.04
"Friday","0",-0.4245,51.446,2010-07-02,"Fire","Hounslow","Feltham",428,"Feltham","1122334113112",17,0.04
"Friday","0",-0.42,51.446,2010-07-02,"Fire","Hounslow","Feltham",528,"Feltham","1122334113112",17,0.04
"Friday","4",-0.426,51.446,2010-06-25,"Fire","Hounslow","Feltham",385,"Feltham","1122334113112",13,0.04
"Friday","9",-0.42,51.446,2009-12-18,"Fire","Hounslow","Feltham",358,"Feltham","1122334113112",29,0.05
"Friday","10",-0.4215,51.443,2011-06-03,"Fire","Hounslow","Feltham",342,"Feltham","1122334113112",30,0.05
"Friday","13",-0.423,51.446,2011-08-12,"Fire","Hounslow","Feltham",334,"Feltham","1122334113112",35,0.06
"Friday","15",-0.4245,51.446,2011-06-03,"Fire","Hounslow","Feltham",939,"Feltham","1122334113112",36,0.05
"Friday","16",-0.4215,51.444,2010-07-09,"Fire","Hounslow","Feltham",773,"Heston","1122334113112",44,0.05
"Friday","16",-0.426,51.445,2010-05-21,"Fire","Hounslow","Feltham",481,"Feltham","1122334113112",44,0.06
"Friday","20",-0.4245,51.443,2009-03-20,"False Alarm","Hounslow","Feltham",359,"Feltham","1122334113112",34,0.05
"Friday","22",-0.4215,51.445,2011-03-11,"Fire","Hounslow","Feltham",563,"Feltham","1122334113112",24,0.05
"Monday","0",-0.4245,51.445,2010-07-05,"Fire","Hounslow","Feltham",363,"Feltham","1122334113112",15,0.04
"Monday","0",-0.42,51.445,2010-07-19,"Fire","Hounslow","Feltham",363,"Feltham","1122334113112",15,0.04
"Monday","2",-0.4215,51.445,2010-08-09,"False Alarm","Hounslow","Feltham",329,"Feltham","1122334113112",13,0.04
"Monday","5",-0.423,51.444,2012-10-15,"False Alarm","Hounslow","Feltham",548,"Feltham","1122334113112",14,0.04
"Monday","12",-0.4215,51.446,2010-08-02,"Fire","Hounslow","Feltham",664,"Heston","1122334113112",27,0.05
"Monday","14",-0.426,51.446,2010-06-28,"Fire","Hounslow","Feltham",355,"Feltham","1122334113112",33,0.05
"Monday","17",-0.4245,51.443,2011-05-30,"Fire","Hounslow","Feltham",494,"Feltham","1122334113112",42,0.05
"Monday","18",-0.4215,51.445,2011-03-21,"Fire","Hounslow","Feltham",311,"Feltham","1122334113112",46,0.06
"Monday","18",-0.423,51.446,2012-07-30,"False Alarm","Hounslow","Feltham",298,"Feltham","1122334113112",46,0.06
"Monday","19",-0.4215,51.445,2010-05-24,"False Alarm","Hounslow","Feltham",291,"Feltham","1122334113112",37,0.06
"Monday","19",-0.426,51.446,2010-08-09,"Fire","Hounslow","Feltham",443,"Feltham","1122334113112",37,0.05
"Monday","19",-0.4245,51.446,2009-08-31,"Fire","Hounslow","Feltham",535,"Twickenham","1122334113112",37,0.05
"Monday","19",-0.4215,51.446,2011-06-27,"Fire","Hounslow","Feltham",331,"Feltham","1122334113112",37,0.06
"Monday","19",-0.4215,51.444,2011-07-25,"Fire","Hounslow","Feltham",494,"Feltham","1122334113112",37,0.05
"Monday","21",-0.4245,51.445,2010-07-05,"Fire","Hounslow","Feltham",317,"Feltham","1122334113112",29,0.05
"Monday","21",-0.42,51.445,2010-08-23,"Fire","Hounslow","Feltham",360,"Feltham","1122334113112",29,0.05
"Monday","21",-0.4245,51.444,2010-07-12,"Fire","Hounslow","Feltham",717,"Feltham","1122334113112",29,0.05
"Monday","22",-0.42,51.445,2010-05-24,"Fire","Hounslow","Feltham",348,"Feltham","1122334113112",25,0.05
"Monday","23",-0.4245,51.443,2011-10-17,"False Alarm","Hounslow","Feltham",473,"Feltham","1122334113112",19,0.04
"Monday","23",-0.42,51.444,2010-06-21,"Fire","Hounslow","Feltham",408,"Feltham","1122334113112",19,0.05
"Monday","23",-0.42,51.444,2011-07-25,"Fire","Hounslow","Feltham",635,"Feltham","1122334113112",19,0.04
