"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","8",-0.213,51.518,2011-07-15,"False Alarm","Kensington and Chelsea","North Kensington",132,"North Kensington","11223342433113",334.536564466169,0.11
"Friday","9",-0.2115,51.518,2012-11-16,"False Alarm","Kensington and Chelsea","North Kensington",138,"North Kensington","11223342433113",365.202416208901,0.11
"Friday","10",-0.21,51.517,2009-02-13,"Fire","Kensington and Chelsea","North Kensington",218,"North Kensington","11223342433113",331.748759762284,0.1
"Friday","10",-0.21,51.518,2009-03-27,"Special Service","Kensington and Chelsea","North Kensington",190,"North Kensington","11223342433113",331.748759762284,0.1
"Friday","11",-0.21,51.518,2011-08-05,"False Alarm","Kensington and Chelsea","North Kensington",93,"North Kensington","11223342433113",412.595096174942,0.12
"Friday","13",-0.2115,51.518,2011-07-08,"False Alarm","Kensington and Chelsea","North Kensington",123,"North Kensington","11223342433113",437.685338509905,0.11
"Friday","13",-0.2115,51.518,2012-12-07,"False Alarm","Kensington and Chelsea","North Kensington",133,"North Kensington","11223342433113",437.685338509905,0.11
"Friday","15",-0.21,51.517,2011-02-25,"False Alarm","Kensington and Chelsea","North Kensington",182,"North Kensington","11223342433113",440.473143213789,0.11
"Friday","16",-0.2115,51.518,2012-07-06,"Special Service","Kensington and Chelsea","North Kensington",150,"North Kensington","11223342433113",501.804846699254,0.11
"Friday","17",-0.2115,51.518,2011-11-18,"False Alarm","Kensington and Chelsea","North Kensington",117,"North Kensington","11223342433113",518.531674922562,0.12
"Friday","17",-0.2115,51.518,2013-03-29,"False Alarm","Kensington and Chelsea","North Kensington",135,"North Kensington","11223342433113",518.531674922562,0.11
"Friday","17",-0.21,51.518,2011-02-04,"False Alarm","Kensington and Chelsea","North Kensington",136,"North Kensington","11223342433113",518.531674922562,0.11
"Friday","21",-0.21,51.518,2009-06-26,"False Alarm","Kensington and Chelsea","North Kensington",451,"Paddington","11223342433113",245.326813941857,0.08
"Friday","23",-0.21,51.517,2010-02-19,"False Alarm","Kensington and Chelsea","North Kensington",198,"North Kensington","11223342433113",203.509743383586,0.09
"Monday","0",-0.21,51.517,2009-03-02,"Special Service","Kensington and Chelsea","North Kensington",138,"North Kensington","11223342433113",114.299992859274,0.09
"Monday","0",-0.2115,51.518,2011-11-21,"False Alarm","Kensington and Chelsea","North Kensington",135,"North Kensington","11223342433113",114.299992859274,0.09
"Monday","5",-0.2115,51.518,2009-12-14,"False Alarm","Kensington and Chelsea","North Kensington",149,"North Kensington","11223342433113",86.4219458204271,0.08
"Monday","7",-0.2115,51.518,2011-10-03,"False Alarm","Kensington and Chelsea","North Kensington",124,"North Kensington","11223342433113",225.812181014664,0.1
"Monday","10",-0.2115,51.518,2009-10-12,"False Alarm","Kensington and Chelsea","North Kensington",203,"North Kensington","11223342433113",395.868267951634,0.1
"Monday","11",-0.2115,51.518,2009-03-16,"False Alarm","Kensington and Chelsea","North Kensington",165,"North Kensington","11223342433113",362.414611505017,0.1
