"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","10",-0.1815,51.405,2012-01-06,"Special Service","Merton","Mitcham",279,"Mitcham","1122331334413",49,0.06
"Friday","10",-0.1815,51.405,2012-01-06,"Special Service","Merton","Mitcham",279,"Mitcham","1122331334413",39,0.06
"Friday","12",-0.1815,51.404,2010-12-17,"Special Service","Merton","Mitcham",930,"Mitcham","1122331334413",51,0.05
"Friday","12",-0.1815,51.404,2010-12-17,"Special Service","Merton","Mitcham",930,"Mitcham","1122331334413",39,0.05
"Friday","20",-0.1815,51.404,2011-10-21,"Fire","Merton","Mitcham",267,"Mitcham","1122331334413",33,0.06
"Friday","20",-0.1815,51.404,2011-10-21,"Fire","Merton","Mitcham",267,"Mitcham","1122331334413",44,0.06
"Friday","21",-0.1815,51.404,2012-11-16,"Special Service","Merton","Mitcham",223,"Mitcham","1122331334413",41,0.06
"Friday","21",-0.1815,51.404,2012-11-16,"Special Service","Merton","Mitcham",223,"Mitcham","1122331334413",33,0.06
"Friday","22",-0.1815,51.404,2011-02-11,"False Alarm","Merton","Mitcham",250,"Mitcham","1122331334413",29,0.06
"Friday","22",-0.1815,51.404,2011-02-11,"False Alarm","Merton","Mitcham",250,"Mitcham","1122331334413",35,0.06
"Friday","23",-0.1815,51.405,2009-01-23,"False Alarm","Merton","Mitcham",355,"Wimbledon","1122331334413",22,0.05
"Friday","23",-0.1815,51.405,2009-01-23,"False Alarm","Merton","Mitcham",355,"Wimbledon","1122331334413",31,0.05
"Friday","9",-0.1815,51.405,2009-07-24,"Special Service","Merton","Mitcham",240,"Mitcham","1122331334413",44,0.06
"Friday","9",-0.1815,51.405,2009-07-24,"Special Service","Merton","Mitcham",240,"Mitcham","1122331334413",35,0.06
"Monday","10",-0.1815,51.406,2010-05-10,"Fire","Merton","Mitcham",217,"Mitcham","1122331334413",37,0.06
"Monday","10",-0.1815,51.406,2010-05-10,"Fire","Merton","Mitcham",217,"Mitcham","1122331334413",45,0.06
"Monday","14",-0.1815,51.404,2013-01-14,"Special Service","Merton","Mitcham",196,"Mitcham","1122331334413",37,0.06
"Monday","14",-0.1815,51.404,2013-01-14,"Special Service","Merton","Mitcham",196,"Mitcham","1122331334413",45,0.07
"Monday","15",-0.1815,51.404,2009-10-26,"Fire","Merton","Mitcham",456,"Mitcham","1122331334413",46,0.06
"Monday","15",-0.1815,51.404,2009-10-26,"Fire","Merton","Mitcham",456,"Mitcham","1122331334413",54,0.06
"Monday","18",-0.1815,51.404,2012-10-08,"Special Service","Merton","Mitcham",254,"Mitcham","1122331334413",45,0.06
"Monday","18",-0.1815,51.404,2012-10-08,"Special Service","Merton","Mitcham",254,"Mitcham","1122331334413",65,0.07
"Monday","20",-0.1815,51.404,2009-10-26,"False Alarm","Merton","Mitcham",426,"Wimbledon","1122331334413",46,0.06
"Monday","20",-0.1815,51.404,2009-10-26,"False Alarm","Merton","Mitcham",426,"Wimbledon","1122331334413",42,0.06
"Monday","21",-0.1815,51.404,2012-10-15,"Fire","Merton","Mitcham",176,"Mitcham","1122331334413",33,0.06
"Monday","21",-0.1815,51.404,2012-10-15,"Fire","Merton","Mitcham",176,"Mitcham","1122331334413",35,0.06
"Monday","23",-0.1815,51.404,2011-04-04,"Special Service","Merton","Mitcham",193,"Mitcham","1122331334413",16,0.05
"Monday","23",-0.1815,51.404,2011-04-04,"Special Service","Merton","Mitcham",193,"Mitcham","1122331334413",22,0.05
"Monday","23",-0.1815,51.404,2011-06-06,"Fire","Merton","Mitcham",232,"Mitcham","1122331334413",16,0.05
"Monday","23",-0.1815,51.404,2011-06-06,"Fire","Merton","Mitcham",232,"Mitcham","1122331334413",22,0.05
"Monday","23",-0.1815,51.405,2010-10-04,"Special Service","Merton","Mitcham",167,"Mitcham","1122331334413",16,0.05
"Monday","23",-0.1815,51.405,2010-10-04,"Special Service","Merton","Mitcham",167,"Mitcham","1122331334413",22,0.05
"Saturday","16",-0.1815,51.404,2010-06-05,"Special Service","Merton","Mitcham",295,"Mitcham","1122331334413",38,0.06
"Saturday","16",-0.1815,51.404,2010-06-05,"Special Service","Merton","Mitcham",295,"Mitcham","1122331334413",51,0.06
"Saturday","18",-0.1815,51.404,2011-08-20,"Special Service","Merton","Mitcham",309,"Mitcham","1122331334413",51,0.06
"Saturday","18",-0.1815,51.404,2011-08-20,"Special Service","Merton","Mitcham",309,"Mitcham","1122331334413",37,0.06
"Saturday","18",-0.1815,51.404,2013-03-16,"Fire","Merton","Mitcham",267,"Mitcham","1122331334413",51,0.06
"Saturday","18",-0.1815,51.404,2013-03-16,"Fire","Merton","Mitcham",267,"Mitcham","1122331334413",37,0.06
"Saturday","19",-0.183,51.404,2013-02-09,"Fire","Merton","Mitcham",256,"Mitcham","1122331334413",38,0.06
"Saturday","19",-0.183,51.404,2013-02-09,"Fire","Merton","Mitcham",256,"Mitcham","1122331334413",49,0.06
"Saturday","21",-0.1815,51.404,2009-10-31,"Special Service","Merton","Mitcham",273,"Mitcham","1122331334413",34,0.06
"Saturday","21",-0.1815,51.404,2009-10-31,"Special Service","Merton","Mitcham",273,"Mitcham","1122331334413",37,0.06
"Saturday","23",-0.1815,51.405,2010-12-11,"Fire","Merton","Mitcham",9,"Mitcham","1122331334413",22,0.12
"Saturday","23",-0.1815,51.405,2010-12-11,"Fire","Merton","Mitcham",9,"Mitcham","1122331334413",27,0.13
"Saturday","3",-0.1845,51.404,2009-06-20,"Fire","Merton","Mitcham",268,"Mitcham","1122331334413",15,0.04
"Saturday","3",-0.1845,51.404,2009-06-20,"Fire","Merton","Mitcham",268,"Mitcham","1122331334413",13,0.04
"Sunday","10",-0.1815,51.404,2011-05-15,"Fire","Merton","Mitcham",228,"Mitcham","1122331334413",30,0.06
"Sunday","10",-0.1815,51.404,2011-05-15,"Fire","Merton","Mitcham",228,"Mitcham","1122331334413",36,0.06
"Sunday","18",-0.183,51.404,2010-11-07,"Fire","Merton","Mitcham",255,"Mitcham","1122331334413",38,0.06
"Sunday","18",-0.183,51.404,2010-11-07,"Fire","Merton","Mitcham",255,"Mitcham","1122331334413",41,0.06
"Sunday","20",-0.1815,51.405,2009-08-16,"Special Service","Merton","Mitcham",270,"Mitcham","1122331334413",35,0.06
"Sunday","20",-0.1815,51.405,2009-08-16,"Special Service","Merton","Mitcham",270,"Mitcham","1122331334413",35,0.06
"Sunday","4",-0.183,51.407,2012-11-04,"Fire","Merton","Mitcham",366,"Wimbledon","1122331334413",12,0.04
"Sunday","4",-0.183,51.407,2012-11-04,"Fire","Merton","Mitcham",366,"Wimbledon","1122331334413",13,0.04
"Sunday","4",-0.183,51.406,2010-09-12,"False Alarm","Merton","Mitcham",678,"Wimbledon","1122331334413",12,0.04
"Sunday","4",-0.183,51.406,2010-09-12,"False Alarm","Merton","Mitcham",678,"Wimbledon","1122331334413",13,0.04
"Thursday","0",-0.1815,51.404,2009-01-01,"Special Service","Merton","Mitcham",313,"Mitcham","1122331334413",17,0.05
