"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","5",0.042,51.53,2010-07-02,"False Alarm","Newham","East Ham",278,"East Ham","1122333421222",47,0.06
"Friday","6",0.0465,51.53,2012-07-20,"Fire","Newham","East Ham",645,"Plaistow","1122333421222",59,0.06
"Friday","11",0.0465,51.532,2012-11-16,"Fire","Newham","East Ham",251,"East Ham","1122333421222",105,0.08
"Friday","13",0.045,51.53,2009-07-03,"Fire","Newham","East Ham",426,"Barking","1122333421222",106,0.07
"Friday","13",0.0465,51.529,2012-02-17,"False Alarm","Newham","East Ham",260,"East Ham","1122333421222",106,0.08
"Friday","14",0.0465,51.531,2009-04-03,"Special Service","Newham","East Ham",815,"East Ham","1122333421222",112,0.06
"Friday","15",0.042,51.531,2009-06-19,"Special Service","Newham","East Ham",409,"East Ham","1122333421222",116,0.07
"Friday","16",0.0465,51.53,2012-11-09,"Fire","Newham","East Ham",234,"East Ham","1122333421222",125,0.08
"Friday","16",0.0435,51.529,2012-06-15,"Special Service","Newham","East Ham",309,"East Ham","1122333421222",125,0.08
"Friday","16",0.0465,51.532,2010-08-20,"False Alarm","Newham","East Ham",311,"East Ham","1122333421222",125,0.08
"Friday","18",0.042,51.532,2013-02-22,"False Alarm","Newham","East Ham",107,"East Ham","1122333421222",119,0.09
"Friday","19",0.042,51.532,2013-02-22,"False Alarm","Newham","East Ham",266,"Plaistow","1122333421222",127,0.08
"Friday","20",0.0465,51.529,2011-03-11,"Fire","Newham","East Ham",259,"Plaistow","1122333421222",116,0.08
"Friday","21",0.045,51.531,2011-12-09,"False Alarm","Newham","East Ham",265,"East Ham","1122333421222",107,0.08
"Friday","22",0.042,51.53,2012-09-28,"False Alarm","Newham","East Ham",265,"Plaistow","1122333421222",99,0.07
"Friday","23",0.042,51.532,2011-01-28,"False Alarm","Newham","East Ham",300,"East Ham","1122333421222",79,0.07
"Friday","23",0.042,51.532,2013-01-25,"False Alarm","Newham","East Ham",309,"Plaistow","1122333421222",79,0.07
"Monday","0",0.0435,51.529,2009-11-30,"Special Service","Newham","East Ham",187,"Plaistow","1122333421222",64,0.07
"Monday","2",0.042,51.53,2009-07-13,"False Alarm","Newham","East Ham",282,"Plaistow","1122333421222",50,0.06
"Monday","6",0.045,51.533,2009-10-05,"Fire","Newham","East Ham",318,"East Ham","1122333421222",52,0.06
"Monday","7",0.042,51.532,2011-11-07,"False Alarm","Newham","East Ham",313,"East Ham","1122333421222",67,0.07
"Monday","8",0.0465,51.53,2010-03-15,"False Alarm","Newham","East Ham",336,"East Ham","1122333421222",84,0.07
"Monday","9",0.0465,51.531,2011-10-17,"Fire","Newham","East Ham",223,"East Ham","1122333421222",87,0.07
"Monday","10",0.045,51.531,2011-02-28,"False Alarm","Newham","East Ham",311,"East Ham","1122333421222",89,0.07
"Monday","12",0.0465,51.53,2010-06-14,"False Alarm","Newham","East Ham",222,"East Ham","1122333421222",96,0.08
"Monday","13",0.045,51.531,2012-04-30,"Fire","Newham","East Ham",362,"Plaistow","1122333421222",91,0.07
"Monday","13",0.042,51.53,2009-05-04,"Special Service","Newham","East Ham",306,"East Ham","1122333421222",91,0.07
"Monday","15",0.045,51.53,2010-11-08,"Fire","Newham","East Ham",270,"East Ham","1122333421222",112,0.08
"Monday","15",0.042,51.531,2010-05-10,"Fire","Newham","East Ham",325,"Plaistow","1122333421222",112,0.07
"Monday","15",0.0435,51.532,2009-12-28,"Fire","Newham","East Ham",248,"East Ham","1122333421222",112,0.08
"Monday","16",0.0465,51.53,2010-05-24,"False Alarm","Newham","East Ham",224,"East Ham","1122333421222",125,0.08
"Monday","17",0.042,51.531,2010-06-28,"Fire","Newham","East Ham",321,"East Ham","1122333421222",130,0.08
"Monday","18",0.042,51.529,2012-12-24,"Special Service","Newham","East Ham",353,"East Ham","1122333421222",122,0.07
"Monday","18",0.045,51.533,2013-01-21,"Fire","Newham","East Ham",297,"Plaistow","1122333421222",122,0.08
"Monday","19",0.042,51.532,2012-12-17,"False Alarm","Newham","East Ham",286,"Plaistow","1122333421222",117,0.08
"Monday","19",0.042,51.53,2009-04-27,"Fire","Newham","East Ham",210,"Plaistow","1122333421222",117,0.08
"Monday","20",0.042,51.532,2012-09-10,"False Alarm","Newham","East Ham",260,"East Ham","1122333421222",107,0.08
"Monday","22",0.042,51.531,2010-10-25,"Fire","Newham","East Ham",232,"East Ham","1122333421222",93,0.07
"Monday","23",0.045,51.53,2009-10-05,"Special Service","Newham","East Ham",256,"East Ham","1122333421222",78,0.07
"Saturday","1",0.042,51.532,2012-11-10,"False Alarm","Newham","East Ham",305,"East Ham","1122333421222",61,0.06
"Saturday","2",0.042,51.529,2009-07-11,"Fire","Newham","East Ham",295,"East Ham","1122333421222",52,0.06
"Saturday","2",0.045,51.53,2009-01-03,"Fire","Newham","East Ham",291,"East Ham","1122333421222",52,0.06
"Saturday","8",0.045,51.53,2009-07-11,"Fire","Newham","East Ham",294,"East Ham","1122333421222",68,0.07
"Saturday","8",0.0465,51.529,2011-09-03,"False Alarm","Newham","East Ham",206,"East Ham","1122333421222",68,0.07
"Saturday","11",0.042,51.53,2010-06-26,"Fire","Newham","East Ham",260,"Plaistow","1122333421222",115,0.08
"Saturday","12",0.042,51.531,2009-11-28,"Fire","Newham","East Ham",294,"East Ham","1122333421222",119,0.08
"Saturday","14",0.042,51.531,2010-06-26,"Fire","Newham","East Ham",234,"Plaistow","1122333421222",114,0.08
"Saturday","14",0.042,51.53,2011-03-19,"False Alarm","Newham","East Ham",344,"East Ham","1122333421222",114,0.07
"Saturday","15",0.042,51.531,2009-07-11,"Fire","Newham","East Ham",494,"Barking","1122333421222",121,0.07
"Saturday","17",0.042,51.531,2010-05-15,"False Alarm","Newham","East Ham",263,"Plaistow","1122333421222",116,0.08
"Saturday","17",0.042,51.531,2012-02-11,"Special Service","Newham","East Ham",294,"Stratford","1122333421222",116,0.08
"Saturday","17",0.0435,51.531,2012-02-18,"Special Service","Newham","East Ham",359,"East Ham","1122333421222",116,0.07
"Saturday","18",0.045,51.53,2011-06-11,"False Alarm","Newham","East Ham",289,"Plaistow","1122333421222",122,0.08
"Saturday","18",0.045,51.531,2010-06-05,"Fire","Newham","East Ham",298,"East Ham","1122333421222",122,0.08
"Saturday","18",0.042,51.531,2011-05-07,"Fire","Newham","East Ham",287,"East Ham","1122333421222",122,0.08
"Saturday","19",0.042,51.531,2013-02-16,"Special Service","Newham","East Ham",231,"East Ham","1122333421222",115,0.08
"Saturday","20",0.042,51.531,2009-08-01,"Special Service","Newham","East Ham",320,"East Ham","1122333421222",115,0.07
"Saturday","20",0.042,51.53,2010-06-19,"Fire","Newham","East Ham",203,"East Ham","1122333421222",115,0.08
"Saturday","20",0.0435,51.53,2012-04-14,"False Alarm","Newham","East Ham",248,"East Ham","1122333421222",115,0.08
"Saturday","21",0.042,51.532,2011-03-05,"False Alarm","Newham","East Ham",304,"Plaistow","1122333421222",107,0.07
