"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Monday","19",-0.3105,51.418,2010-08-16,"Fire","Richmond upon Thames","Twickenham",723,"Kingston","1122334122214",6,0.03
"Monday","19",-0.3105,51.418,2010-08-16,"Fire","Richmond upon Thames","Twickenham",723,"Kingston","1122334122214",8,0.03
"Sunday","14",-0.3105,51.418,2012-04-01,"False Alarm","Richmond upon Thames","Twickenham",392,"Twickenham","1122334122214",9,0.03
"Sunday","14",-0.3105,51.418,2012-04-01,"False Alarm","Richmond upon Thames","Twickenham",392,"Twickenham","1122334122214",4,0.02
"Sunday","22",-0.3075,51.419,2012-03-25,"Fire","Richmond upon Thames","Twickenham",506,"Twickenham","1122334122214",3,0.02
"Sunday","22",-0.3075,51.419,2012-03-25,"Fire","Richmond upon Thames","Twickenham",506,"Twickenham","1122334122214",6,0.03
"Sunday","9",-0.3075,51.419,2012-06-03,"Special Service","Richmond upon Thames","Twickenham",508,"Surbiton","1122334122214",4,0.02
"Sunday","9",-0.3075,51.419,2012-06-03,"Special Service","Richmond upon Thames","Twickenham",508,"Surbiton","1122334122214",6,0.03
"Thursday","1",-0.3105,51.419,2009-01-01,"Special Service","Richmond upon Thames","Twickenham",646,"Kingston","1122334122214",3,0.02
"Thursday","1",-0.3105,51.419,2009-01-01,"Special Service","Richmond upon Thames","Twickenham",646,"Kingston","1122334122214",4,0.02
"Thursday","11",-0.3105,51.418,2009-01-08,"Special Service","Richmond upon Thames","Twickenham",389,"Twickenham","1122334122214",6,0.03
"Thursday","11",-0.3105,51.418,2009-01-08,"Special Service","Richmond upon Thames","Twickenham",389,"Twickenham","1122334122214",10,0.04
"Tuesday","17",-0.3075,51.42,2009-09-22,"Fire","Richmond upon Thames","Twickenham",526,"Surbiton","1122334122214",7,0.03
"Tuesday","17",-0.3075,51.42,2009-09-22,"Fire","Richmond upon Thames","Twickenham",526,"Surbiton","1122334122214",11,0.04
"Wednesday","10",-0.3105,51.419,2010-05-26,"False Alarm","Richmond upon Thames","Twickenham",277,"Twickenham","1122334122214",6,0.03
"Wednesday","10",-0.3105,51.419,2010-05-26,"False Alarm","Richmond upon Thames","Twickenham",277,"Twickenham","1122334122214",10,0.04
"Wednesday","12",-0.309,51.418,2011-09-14,"False Alarm","Richmond upon Thames","Twickenham",390,"Kingston","1122334122214",9,0.03
"Wednesday","12",-0.309,51.418,2011-09-14,"False Alarm","Richmond upon Thames","Twickenham",390,"Kingston","1122334122214",6,0.03
"Wednesday","18",-0.3105,51.418,2010-11-24,"False Alarm","Richmond upon Thames","Twickenham",408,"Kingston","1122334122214",11,0.04
"Wednesday","18",-0.3105,51.418,2010-11-24,"False Alarm","Richmond upon Thames","Twickenham",408,"Kingston","1122334122214",7,0.03
"Friday","0",-0.3075,51.409,2009-11-06,"Fire","Richmond upon Thames","Kingston",508,"Kingston","1122331433341",42,0.05
"Friday","0",-0.3075,51.409,2009-11-06,"Fire","Richmond upon Thames","Kingston",508,"Kingston","1122331433341",70,0.06
"Friday","16",-0.312,51.41,2010-09-17,"Special Service","Richmond upon Thames","Twickenham",369,"Kingston","1122331433341",683,0.1
"Friday","16",-0.312,51.41,2010-09-17,"Special Service","Richmond upon Thames","Twickenham",369,"Kingston","1122331433341",405,0.09
"Friday","17",-0.312,51.41,2009-03-13,"False Alarm","Richmond upon Thames","Twickenham",302,"Kingston","1122331433341",586,0.1
"Friday","17",-0.312,51.41,2009-03-13,"False Alarm","Richmond upon Thames","Twickenham",302,"Kingston","1122331433341",350,0.09
"Friday","18",-0.312,51.41,2010-04-23,"False Alarm","Richmond upon Thames","Twickenham",364,"Kingston","1122331433341",239,0.08
"Friday","18",-0.312,51.41,2010-04-23,"False Alarm","Richmond upon Thames","Twickenham",364,"Kingston","1122331433341",460,0.09
"Friday","6",-0.312,51.41,2012-10-05,"False Alarm","Richmond upon Thames","Twickenham",373,"Kingston","1122331433341",29,0.05
"Friday","6",-0.312,51.41,2012-10-05,"False Alarm","Richmond upon Thames","Twickenham",373,"Kingston","1122331433341",49,0.06
"Monday","14",-0.312,51.41,2012-02-06,"False Alarm","Richmond upon Thames","Twickenham",321,"Kingston","1122331433341",423,0.09
"Monday","14",-0.312,51.41,2012-02-06,"False Alarm","Richmond upon Thames","Twickenham",321,"Kingston","1122331433341",744,0.1
"Monday","17",-0.312,51.41,2010-10-25,"False Alarm","Richmond upon Thames","Twickenham",326,"Kingston","1122331433341",306,0.09
"Monday","17",-0.312,51.41,2010-10-25,"False Alarm","Richmond upon Thames","Twickenham",326,"Kingston","1122331433341",524,0.1
"Monday","2",-0.312,51.41,2011-11-21,"False Alarm","Richmond upon Thames","Twickenham",328,"Kingston","1122331433341",31,0.05
"Monday","2",-0.312,51.41,2011-11-21,"False Alarm","Richmond upon Thames","Twickenham",328,"Kingston","1122331433341",22,0.05
"Monday","21",-0.312,51.41,2009-11-16,"Fire","Richmond upon Thames","Twickenham",257,"Kingston","1122331433341",136,0.08
"Monday","21",-0.312,51.41,2009-11-16,"Fire","Richmond upon Thames","Twickenham",257,"Kingston","1122331433341",96,0.07
"Saturday","10",-0.3075,51.409,2011-04-09,"False Alarm","Richmond upon Thames","Kingston",435,"Kingston","1122331433341",325,0.09
"Saturday","10",-0.3075,51.409,2011-04-09,"False Alarm","Richmond upon Thames","Kingston",435,"Kingston","1122331433341",718,0.1
"Saturday","11",-0.312,51.41,2009-10-17,"False Alarm","Richmond upon Thames","Twickenham",407,"Twickenham","1122331433341",419,0.09
"Saturday","11",-0.312,51.41,2009-10-17,"False Alarm","Richmond upon Thames","Twickenham",407,"Twickenham","1122331433341",932,0.1
"Saturday","13",-0.312,51.41,2009-02-07,"False Alarm","Richmond upon Thames","Twickenham",392,"Kingston","1122331433341",1158,0.11
"Saturday","13",-0.312,51.41,2009-02-07,"False Alarm","Richmond upon Thames","Twickenham",392,"Kingston","1122331433341",545,0.09
"Saturday","13",-0.312,51.41,2009-11-14,"False Alarm","Richmond upon Thames","Twickenham",335,"Kingston","1122331433341",1158,0.11
"Saturday","13",-0.312,51.41,2009-11-14,"False Alarm","Richmond upon Thames","Twickenham",335,"Kingston","1122331433341",545,0.1
"Saturday","15",-0.312,51.41,2012-03-31,"False Alarm","Richmond upon Thames","Twickenham",346,"Kingston","1122331433341",1234,0.11
"Saturday","15",-0.312,51.41,2012-03-31,"False Alarm","Richmond upon Thames","Twickenham",346,"Kingston","1122331433341",597,0.1
"Saturday","19",-0.312,51.41,2009-11-28,"False Alarm","Richmond upon Thames","Twickenham",311,"Kingston","1122331433341",309,0.09
"Saturday","19",-0.312,51.41,2009-11-28,"False Alarm","Richmond upon Thames","Twickenham",311,"Kingston","1122331433341",165,0.08
"Saturday","19",-0.3075,51.41,2010-03-13,"Fire","Richmond upon Thames","Kingston",490,"New Malden","1122331433341",309,0.08
"Saturday","19",-0.3075,51.41,2010-03-13,"Fire","Richmond upon Thames","Kingston",490,"New Malden","1122331433341",165,0.07
"Saturday","2",-0.3105,51.41,2009-10-24,"Special Service","Richmond upon Thames","Twickenham",446,"Twickenham","1122331433341",113,0.07
"Saturday","2",-0.3105,51.41,2009-10-24,"Special Service","Richmond upon Thames","Twickenham",446,"Twickenham","1122331433341",78,0.06
"Saturday","2",-0.312,51.41,2011-02-05,"False Alarm","Richmond upon Thames","Twickenham",341,"Surbiton","1122331433341",113,0.07
"Saturday","2",-0.312,51.41,2011-02-05,"False Alarm","Richmond upon Thames","Twickenham",341,"Surbiton","1122331433341",78,0.07
"Saturday","2",-0.312,51.41,2010-10-16,"False Alarm","Richmond upon Thames","Twickenham",358,"Surbiton","1122331433341",113,0.07
"Saturday","2",-0.312,51.41,2010-10-16,"False Alarm","Richmond upon Thames","Twickenham",358,"Surbiton","1122331433341",78,0.07
"Saturday","23",-0.309,51.408,2009-07-11,"Fire","Richmond upon Thames","Twickenham",484,"Kingston","1122331433341",166,0.07
"Saturday","23",-0.309,51.408,2009-07-11,"Fire","Richmond upon Thames","Twickenham",484,"Kingston","1122331433341",264,0.08
"Saturday","6",-0.3075,51.409,2009-03-07,"False Alarm","Richmond upon Thames","Kingston",361,"Kingston","1122331433341",39,0.06
"Saturday","6",-0.3075,51.409,2009-03-07,"False Alarm","Richmond upon Thames","Kingston",361,"Kingston","1122331433341",31,0.05
"Sunday","15",-0.309,51.408,2012-01-15,"Fire","Richmond upon Thames","Twickenham",1152,"Twickenham","1122331433341",861,0.09
"Sunday","15",-0.309,51.408,2012-01-15,"Fire","Richmond upon Thames","Twickenham",1152,"Twickenham","1122331433341",428,0.08
"Sunday","2",-0.312,51.41,2009-03-22,"False Alarm","Richmond upon Thames","Twickenham",389,"Kingston","1122331433341",153,0.08
"Sunday","2",-0.312,51.41,2009-03-22,"False Alarm","Richmond upon Thames","Twickenham",389,"Kingston","1122331433341",129,0.07
"Sunday","21",-0.312,51.41,2011-05-01,"Special Service","Richmond upon Thames","Twickenham",493,"Twickenham","1122331433341",74,0.06
"Sunday","21",-0.312,51.41,2011-05-01,"Special Service","Richmond upon Thames","Twickenham",493,"Twickenham","1122331433341",95,0.07
"Thursday","1",-0.312,51.41,2009-01-01,"False Alarm","Richmond upon Thames","Twickenham",389,"Kingston","1122331433341",65,0.06
"Thursday","1",-0.312,51.41,2009-01-01,"False Alarm","Richmond upon Thames","Twickenham",389,"Kingston","1122331433341",94,0.07
"Thursday","12",-0.312,51.41,2009-02-19,"False Alarm","Richmond upon Thames","Twickenham",293,"Kingston","1122331433341",755,0.1
"Thursday","12",-0.312,51.41,2009-02-19,"False Alarm","Richmond upon Thames","Twickenham",293,"Kingston","1122331433341",451,0.1
"Thursday","13",-0.312,51.41,2010-03-04,"Fire","Richmond upon Thames","Twickenham",327,"Kingston","1122331433341",451,0.09
"Thursday","13",-0.312,51.41,2010-03-04,"Fire","Richmond upon Thames","Twickenham",327,"Kingston","1122331433341",767,0.1
"Thursday","17",-0.309,51.408,2011-04-28,"Special Service","Richmond upon Thames","Twickenham",398,"Kingston","1122331433341",375,0.09
"Thursday","17",-0.309,51.408,2011-04-28,"Special Service","Richmond upon Thames","Twickenham",398,"Kingston","1122331433341",713,0.1
"Thursday","18",-0.312,51.41,2011-07-07,"False Alarm","Richmond upon Thames","Twickenham",948,"Twickenham","1122331433341",333,0.08
"Thursday","18",-0.312,51.41,2011-07-07,"False Alarm","Richmond upon Thames","Twickenham",948,"Twickenham","1122331433341",700,0.09
"Thursday","21",-0.312,51.41,2010-07-08,"False Alarm","Richmond upon Thames","Twickenham",285,"Kingston","1122331433341",236,0.09
"Thursday","21",-0.312,51.41,2010-07-08,"False Alarm","Richmond upon Thames","Twickenham",285,"Kingston","1122331433341",148,0.08
"Thursday","22",-0.312,51.41,2011-02-10,"Fire","Richmond upon Thames","Twickenham",300,"Kingston","1122331433341",140,0.08
"Thursday","22",-0.312,51.41,2011-02-10,"Fire","Richmond upon Thames","Twickenham",300,"Kingston","1122331433341",154,0.08
"Thursday","3",-0.312,51.41,2009-01-01,"False Alarm","Richmond upon Thames","Twickenham",355,"Kingston","1122331433341",44,0.06
"Thursday","3",-0.312,51.41,2009-01-01,"False Alarm","Richmond upon Thames","Twickenham",355,"Kingston","1122331433341",60,0.06
"Thursday","5",-0.312,51.41,2009-01-01,"False Alarm","Richmond upon Thames","Twickenham",339,"Kingston","1122331433341",33,0.05
"Thursday","5",-0.312,51.41,2009-01-01,"False Alarm","Richmond upon Thames","Twickenham",339,"Kingston","1122331433341",26,0.05
"Tuesday","0",-0.312,51.41,2010-06-01,"False Alarm","Richmond upon Thames","Twickenham",287,"Kingston","1122331433341",83,0.07
"Tuesday","0",-0.312,51.41,2010-06-01,"False Alarm","Richmond upon Thames","Twickenham",287,"Kingston","1122331433341",63,0.07
"Tuesday","0",-0.312,51.41,2010-06-01,"False Alarm","Richmond upon Thames","Twickenham",293,"Kingston","1122331433341",83,0.07
"Tuesday","0",-0.312,51.41,2010-06-01,"False Alarm","Richmond upon Thames","Twickenham",293,"Kingston","1122331433341",63,0.07
"Tuesday","12",-0.312,51.41,2012-12-11,"False Alarm","Richmond upon Thames","Twickenham",312,"Kingston","1122331433341",449,0.1
"Tuesday","12",-0.312,51.41,2012-12-11,"False Alarm","Richmond upon Thames","Twickenham",312,"Kingston","1122331433341",731,0.1
"Tuesday","14",-0.312,51.41,2012-03-13,"Fire","Richmond upon Thames","Twickenham",311,"Kingston","1122331433341",655,0.1
"Tuesday","14",-0.312,51.41,2012-03-13,"Fire","Richmond upon Thames","Twickenham",311,"Kingston","1122331433341",396,0.09
"Tuesday","14",-0.312,51.41,2012-03-13,"False Alarm","Richmond upon Thames","Twickenham",193,"Twickenham","1122331433341",655,0.11
"Tuesday","14",-0.312,51.41,2012-03-13,"False Alarm","Richmond upon Thames","Twickenham",193,"Twickenham","1122331433341",396,0.1
"Tuesday","20",-0.312,51.41,2009-11-10,"Special Service","Richmond upon Thames","Twickenham",435,"Twickenham","1122331433341",109,0.07
"Tuesday","20",-0.312,51.41,2009-11-10,"Special Service","Richmond upon Thames","Twickenham",435,"Twickenham","1122331433341",225,0.08
"Tuesday","22",-0.312,51.41,2010-11-16,"False Alarm","Richmond upon Thames","Twickenham",248,"Kingston","1122331433341",74,0.07
"Tuesday","22",-0.312,51.41,2010-11-16,"False Alarm","Richmond upon Thames","Twickenham",248,"Kingston","1122331433341",123,0.08
"Tuesday","23",-0.312,51.41,2011-04-05,"False Alarm","Richmond upon Thames","Twickenham",321,"Kingston","1122331433341",82,0.07
"Tuesday","23",-0.312,51.41,2011-04-05,"False Alarm","Richmond upon Thames","Twickenham",321,"Kingston","1122331433341",52,0.06
"Wednesday","1",-0.312,51.41,2012-05-09,"False Alarm","Richmond upon Thames","Twickenham",303,"Kingston","1122331433341",32,0.05
"Wednesday","1",-0.312,51.41,2012-05-09,"False Alarm","Richmond upon Thames","Twickenham",303,"Kingston","1122331433341",49,0.06
"Wednesday","1",-0.312,51.41,2011-09-21,"False Alarm","Richmond upon Thames","Twickenham",297,"Kingston","1122331433341",32,0.06
"Wednesday","1",-0.312,51.41,2011-09-21,"False Alarm","Richmond upon Thames","Twickenham",297,"Kingston","1122331433341",49,0.06
"Wednesday","1",-0.312,51.41,2009-03-18,"Special Service","Richmond upon Thames","Twickenham",414,"Twickenham","1122331433341",32,0.05
"Wednesday","1",-0.312,51.41,2009-03-18,"Special Service","Richmond upon Thames","Twickenham",414,"Twickenham","1122331433341",49,0.06
"Wednesday","16",-0.312,51.41,2010-11-17,"False Alarm","Richmond upon Thames","Twickenham",345,"Kingston","1122331433341",598,0.1
"Wednesday","16",-0.312,51.41,2010-11-17,"False Alarm","Richmond upon Thames","Twickenham",345,"Kingston","1122331433341",376,0.09
"Wednesday","17",-0.312,51.41,2010-10-27,"Fire","Richmond upon Thames","Twickenham",308,"Kingston","1122331433341",521,0.1
"Wednesday","17",-0.312,51.41,2010-10-27,"Fire","Richmond upon Thames","Twickenham",308,"Kingston","1122331433341",314,0.09
"Wednesday","2",-0.312,51.41,2009-02-18,"False Alarm","Richmond upon Thames","Twickenham",325,"Kingston","1122331433341",39,0.06
"Wednesday","2",-0.312,51.41,2009-02-18,"False Alarm","Richmond upon Thames","Twickenham",325,"Kingston","1122331433341",32,0.05
"Friday","10",-0.27,51.467,2009-05-22,"False Alarm","Richmond upon Thames","Richmond",332,"Richmond","1122334214432",71,0.07
