"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","15",-0.132,51.372,2011-11-18,"Fire","Sutton","Wallington",569,"Croydon","1122331332412",26.4001813647423,0.05
"Friday","19",-0.132,51.371,2009-04-10,"False Alarm","Sutton","Wallington",356,"Wallington","1122331332412",20.8422484458492,0.05
"Saturday","15",-0.135,51.373,2009-06-27,"Fire","Sutton","Wallington",409,"Wallington","1122331332412",21.5369900607109,0.05
"Saturday","23",-0.132,51.371,2013-03-23,"Fire","Sutton","Wallington",332,"Wallington","1122331332412",10.4211242229246,0.04
"Sunday","17",-0.132,51.372,2010-01-03,"Fire","Sutton","Wallington",297,"Wallington","1122331332412",14.5895739120945,0.04
"Thursday","0",-0.132,51.372,2009-01-01,"Fire","Sutton","Wallington",820,"Wallington","1122331332412",6.25267453375476,0.03
"Thursday","15",-0.135,51.372,2011-04-21,"Fire","Sutton","Wallington",471,"Croydon","1122331332412",22.9264732904341,0.05
"Tuesday","12",-0.132,51.373,2010-09-14,"Fire","Sutton","Wallington",343,"Croydon","1122331332412",20.8422484458492,0.05
"Wednesday","18",-0.135,51.373,2012-09-19,"Fire","Sutton","Wallington",402,"Wallington","1122331332412",20.8422484458492,0.05
"Friday","0",-0.189,51.354,2011-06-03,"Special Service","Sutton","Sutton",567,"Sutton","1122331324444",45.1404597534154,0.05
"Friday","1",-0.1875,51.355,2010-02-19,"False Alarm","Sutton","Sutton",396,"Sutton","1122331324444",40.9736480838693,0.06
"Friday","8",-0.1905,51.353,2010-07-02,"False Alarm","Sutton","Sutton",466,"Sutton","1122331324444",112.503915077743,0.07
"Friday","9",-0.1875,51.353,2009-07-24,"False Alarm","Sutton","Sutton",439,"Sutton","1122331324444",102.781354515469,0.07
"Friday","9",-0.1875,51.354,2011-10-21,"False Alarm","Sutton","Sutton",389,"Sutton","1122331324444",102.781354515469,0.07
"Friday","10",-0.1875,51.355,2010-01-15,"False Alarm","Sutton","Sutton",395,"Wallington","1122331324444",103.47582312706,0.07
"Friday","12",-0.189,51.354,2009-04-10,"Special Service","Sutton","Sutton",413,"Sutton","1122331324444",111.114977854561,0.07
"Friday","13",-0.189,51.356,2010-10-15,"Fire","Sutton","Sutton",315,"Sutton","1122331324444",101.392417292287,0.07
"Friday","14",-0.189,51.356,2011-11-04,"Special Service","Sutton","Sutton",740,"Sutton","1122331324444",100.697948680696,0.06
"Friday","18",-0.1905,51.355,2009-05-15,"False Alarm","Sutton","Sutton",375,"Sutton","1122331324444",118.059663970471,0.07
"Friday","18",-0.189,51.356,2012-02-24,"Special Service","Sutton","Sutton",379,"Sutton","1122331324444",118.059663970471,0.07
"Friday","22",-0.189,51.353,2012-06-29,"False Alarm","Sutton","Sutton",379,"Sutton","1122331324444",74.3081414402376,0.07
"Monday","12",-0.1905,51.353,2012-04-16,"Special Service","Sutton","Sutton",372,"Sutton","1122331324444",88.8919822836487,0.07
"Monday","13",-0.189,51.353,2012-06-11,"False Alarm","Sutton","Sutton",552,"Sutton","1122331324444",83.3362333909207,0.06
"Monday","14",-0.189,51.356,2009-11-16,"Special Service","Sutton","Sutton",571,"Sutton","1122331324444",93.0587939531947,0.06
"Monday","15",-0.1875,51.354,2010-04-05,"Fire","Sutton","Sutton",364,"Sutton","1122331324444",103.47582312706,0.07
"Monday","17",-0.189,51.353,2012-07-02,"Special Service","Sutton","Sutton",430,"Sutton","1122331324444",121.532007028426,0.07
"Monday","18",-0.1905,51.355,2009-11-16,"Special Service","Sutton","Sutton",631,"Sutton","1122331324444",111.809446466152,0.07
"Monday","18",-0.1875,51.355,2011-09-19,"Fire","Sutton","Sutton",333,"Sutton","1122331324444",111.809446466152,0.07
"Monday","19",-0.1905,51.355,2012-12-10,"False Alarm","Sutton","Sutton",404,"Sutton","1122331324444",97.2256056227408,0.07
"Saturday","0",-0.1905,51.355,2012-02-11,"Special Service","Sutton","Sutton",448,"Sutton","1122331324444",56.9464261504625,0.06
"Saturday","10",-0.1875,51.354,2009-11-28,"False Alarm","Sutton","Sutton",325,"Sutton","1122331324444",98.6145428459228,0.07
"Saturday","11",-0.1905,51.355,2012-03-03,"False Alarm","Sutton","Sutton",352,"Sutton","1122331324444",95.8366683995588,0.07
"Saturday","13",-0.1875,51.355,2010-04-17,"False Alarm","Sutton","Sutton",442,"Sutton","1122331324444",97.2256056227408,0.07
"Saturday","17",-0.1875,51.355,2010-06-12,"False Alarm","Sutton","Sutton",352,"Sutton","1122331324444",95.8366683995588,0.07
"Saturday","18",-0.189,51.356,2012-05-12,"Special Service","Sutton","Sutton",803,"Sutton","1122331324444",97.2256056227408,0.06
"Saturday","21",-0.189,51.356,2012-05-12,"Fire","Sutton","Sutton",541,"Wallington","1122331324444",69.4468611591005,0.06
"Sunday","2",-0.189,51.356,2012-05-13,"False Alarm","Sutton","Sutton",339,"Sutton","1122331324444",40.9736480838693,0.06
"Sunday","9",-0.189,51.356,2009-08-30,"Special Service","Sutton","Sutton",410,"Sutton","1122331324444",70.8357983822826,0.06
"Sunday","10",-0.1875,51.354,2009-07-12,"False Alarm","Sutton","Sutton",492,"Sutton","1122331324444",84.0307020025117,0.06
"Sunday","12",-0.1875,51.353,2009-05-31,"False Alarm","Sutton","Sutton",419,"Sutton","1122331324444",88.1975136720577,0.07
"Sunday","13",-0.1905,51.355,2011-05-08,"False Alarm","Sutton","Sutton",388,"Sutton","1122331324444",87.5030450604667,0.07
"Sunday","13",-0.1905,51.354,2010-08-15,"False Alarm","Sutton","Sutton",405,"Sutton","1122331324444",87.5030450604667,0.07
"Sunday","15",-0.189,51.353,2012-09-02,"False Alarm","Sutton","Sutton",426,"Sutton","1122331324444",82.6417647793296,0.07
"Sunday","19",-0.1905,51.353,2011-08-21,"Fire","Sutton","Sutton",386,"Sutton","1122331324444",90.9753881184217,0.07
"Sunday","20",-0.189,51.356,2011-01-23,"Fire","Sutton","Sutton",573,"Sutton","1122331324444",83.3362333909207,0.06
"Sunday","21",-0.189,51.356,2009-04-19,"Fire","Sutton","Sutton",342,"Sutton","1122331324444",79.1694217213746,0.07
"Sunday","22",-0.1875,51.355,2011-01-09,"False Alarm","Sutton","Sutton",418,"Sutton","1122331324444",64.5855808779635,0.06
"Sunday","22",-0.1905,51.354,2010-09-05,"False Alarm","Sutton","Sutton",312,"Sutton","1122331324444",64.5855808779635,0.07
"Thursday","0",-0.1875,51.355,2010-04-22,"False Alarm","Sutton","Sutton",458,"Sutton","1122331324444",43.0570539186423,0.06
"Thursday","2",-0.189,51.353,2012-06-28,"False Alarm","Sutton","Sutton",415,"Sutton","1122331324444",37.5013050259143,0.05
"Thursday","9",-0.1905,51.355,2012-02-09,"False Alarm","Sutton","Sutton",355,"Sutton","1122331324444",98.6145428459228,0.07
"Thursday","12",-0.1905,51.355,2009-01-01,"Fire","Sutton","Sutton",465,"Sutton","1122331324444",103.47582312706,0.07
"Thursday","13",-0.189,51.353,2013-03-21,"False Alarm","Sutton","Sutton",522,"Sutton","1122331324444",99.3090114575138,0.07
"Thursday","15",-0.189,51.353,2013-03-21,"False Alarm","Sutton","Sutton",745,"Croydon","1122331324444",108.337103408197,0.06
"Thursday","16",-0.189,51.354,2011-03-10,"False Alarm","Sutton","Sutton",392,"Sutton","1122331324444",105.559228961833,0.07
"Thursday","18",-0.1875,51.355,2009-03-19,"False Alarm","Sutton","Sutton",348,"Sutton","1122331324444",102.781354515469,0.07
"Thursday","18",-0.1905,51.354,2011-01-27,"False Alarm","Sutton","Sutton",355,"Sutton","1122331324444",102.781354515469,0.07
"Tuesday","4",-0.189,51.353,2012-12-18,"False Alarm","Sutton","Sutton",435,"Sutton","1122331324444",39.5847108606873,0.05
"Tuesday","11",-0.1875,51.353,2009-09-29,"False Alarm","Sutton","Sutton",471,"Wallington","1122331324444",95.1421997879678,0.07
"Tuesday","17",-0.1875,51.354,2010-06-29,"Fire","Sutton","Sutton",376,"Sutton","1122331324444",127.087755921154,0.07
"Tuesday","19",-0.1875,51.355,2011-09-06,"False Alarm","Sutton","Sutton",292,"Sutton","1122331324444",100.003480069105,0.07
"Tuesday","19",-0.1875,51.353,2011-04-05,"False Alarm","Sutton","Sutton",368,"Sutton","1122331324444",100.003480069105,0.07
"Tuesday","21",-0.189,51.355,2011-09-06,"False Alarm","Sutton","Sutton",328,"Sutton","1122331324444",81.9472961677386,0.07
"Tuesday","23",-0.1875,51.353,2009-12-15,"Special Service","Sutton","Sutton",406,"Sutton","1122331324444",50.6962086461434,0.06
"Wednesday","9",-0.1905,51.355,2012-01-11,"False Alarm","Sutton","Sutton",465,"Wallington","1122331324444",91.6698567300127,0.07
"Wednesday","10",-0.1905,51.355,2009-12-09,"False Alarm","Sutton","Sutton",394,"Sutton","1122331324444",90.2809195068307,0.07
"Wednesday","16",-0.1905,51.355,2012-06-20,"Fire","Sutton","Sutton",403,"Sutton","1122331324444",104.864760350242,0.07
"Wednesday","18",-0.1905,51.355,2011-10-19,"False Alarm","Sutton","Sutton",316,"Sutton","1122331324444",114.587320912516,0.07
"Thursday","0",-0.213,51.348,2009-10-15,"False Alarm","Sutton","Sutton",331,"Sutton","1122331313314",2.08307846859617,0.02
"Thursday","16",-0.213,51.348,2009-01-01,"Fire","Sutton","Sutton",433,"Sutton","1122331313314",6.94359489532056,0.03
"Thursday","19",-0.21,51.348,2010-03-25,"False Alarm","Sutton","Sutton",392,"Sutton","1122331313314",5.55487591625645,0.03
"Friday","1",-0.1935,51.361,2009-05-29,"False Alarm","Sutton","Sutton",331,"Sutton","1122331342223",36.8126222828851,0.06
"Friday","2",-0.1935,51.362,2010-09-17,"Fire","Sutton","Sutton",349,"Sutton","1122331342223",34.728888946118,0.05
"Friday","7",-0.1935,51.361,2009-05-01,"Fire","Sutton","Sutton",366,"Sutton","1122331342223",70.8469334500807,0.07
"Friday","8",-0.1935,51.361,2011-03-18,"False Alarm","Sutton","Sutton",223,"Sutton","1122331342223",113.216177964345,0.08
"Friday","9",-0.1965,51.363,2009-02-13,"False Alarm","Sutton","Sutton",244,"Sutton","1122331342223",159.752889152143,0.08
"Friday","9",-0.1965,51.361,2009-05-15,"False Alarm","Sutton","Sutton",255,"Sutton","1122331342223",159.752889152143,0.08
"Friday","10",-0.1965,51.363,2009-02-13,"False Alarm","Sutton","Sutton",231,"Sutton","1122331342223",201.427555887484,0.09
"Friday","11",-0.1935,51.361,2010-10-01,"Special Service","Sutton","Sutton",604,"Croydon","1122331342223",258.382933759118,0.08
"Friday","11",-0.1935,51.361,2013-01-18,"False Alarm","Sutton","Sutton",331,"Sutton","1122331342223",258.382933759118,0.09
"Friday","11",-0.195,51.361,2012-03-09,"Fire","Sutton","Sutton",362,"Sutton","1122331342223",258.382933759118,0.08
"Friday","12",-0.1965,51.361,2009-12-25,"False Alarm","Sutton","Sutton",288,"Sutton","1122331342223",254.215467085584,0.09
"Friday","12",-0.198,51.363,2009-10-02,"Special Service","Sutton","Sutton",330,"Sutton","1122331342223",254.215467085584,0.09
"Friday","13",-0.1935,51.363,2012-05-25,"Fire","Sutton","Sutton",462,"Sutton","1122331342223",247.26968929636,0.08
"Friday","13",-0.195,51.363,2012-04-20,"False Alarm","Sutton","Sutton",290,"Sutton","1122331342223",247.26968929636,0.09
"Friday","13",-0.195,51.362,2009-12-25,"False Alarm","Sutton","Sutton",177,"Sutton","1122331342223",247.26968929636,0.1
"Friday","14",-0.1965,51.363,2009-04-17,"False Alarm","Sutton","Sutton",425,"Sutton","1122331342223",251.437155969894,0.08
"Friday","14",-0.1935,51.362,2010-02-19,"Special Service","Sutton","Sutton",657,"Sutton","1122331342223",251.437155969894,0.08
"Friday","15",-0.195,51.363,2010-12-24,"Fire","Sutton","Sutton",738,"New Malden","1122331342223",242.407644843904,0.07
"Friday","15",-0.1965,51.361,2009-12-25,"False Alarm","Sutton","Sutton",267,"Sutton","1122331342223",242.407644843904,0.09
"Friday","15",-0.1965,51.361,2010-03-19,"Special Service","Sutton","Sutton",283,"Sutton","1122331342223",242.407644843904,0.09
"Friday","15",-0.1965,51.36,2009-05-29,"Special Service","Sutton","Sutton",339,"Sutton","1122331342223",242.407644843904,0.08
"Friday","16",-0.1965,51.361,2010-12-31,"False Alarm","Sutton","Sutton",251,"Sutton","1122331342223",232.683555938991,0.09
"Friday","18",-0.1935,51.363,2009-05-15,"Fire","Sutton","Sutton",388,"Sutton","1122331342223",153.501689141842,0.08
"Friday","18",-0.1965,51.361,2009-05-22,"False Alarm","Sutton","Sutton",512,"Sutton","1122331342223",153.501689141842,0.07
"Friday","18",-0.1965,51.361,2010-06-25,"Fire","Sutton","Sutton",234,"Sutton","1122331342223",153.501689141842,0.08
"Friday","19",-0.198,51.363,2009-09-25,"Fire","Sutton","Sutton",419,"Sutton","1122331342223",134.053511332015,0.07
"Friday","21",-0.1935,51.363,2012-02-17,"Fire","Sutton","Sutton",236,"Sutton","1122331342223",109.743289069733,0.08
"Friday","21",-0.1935,51.362,2012-06-29,"Special Service","Sutton","Sutton",261,"Sutton","1122331342223",109.743289069733,0.08
"Friday","21",-0.198,51.362,2010-07-30,"Special Service","Sutton","Sutton",538,"Sutton","1122331342223",109.743289069733,0.07
"Friday","22",-0.198,51.361,2010-07-09,"Fire","Sutton","Sutton",288,"Sutton","1122331342223",86.1276445863726,0.07
"Friday","23",-0.1965,51.363,2012-11-16,"Fire","Sutton","Sutton",276,"Sutton","1122331342223",84.0439112496056,0.07
"Monday","0",-0.1965,51.363,2010-07-26,"False Alarm","Sutton","Sutton",271,"Sutton","1122331342223",31.2560000515062,0.06
