"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","0",-0.0195,51.584,2012-03-23,"Fire","Waltham Forest","Walthamstow",830,"Walthamstow","1122333413344",30.0134681073065,0.05
"Friday","0",-0.021,51.584,2012-03-23,"False Alarm","Waltham Forest","Walthamstow",252,"Walthamstow","1122333413344",30.0134681073065,0.06
"Friday","7",-0.0225,51.584,2012-09-14,"False Alarm","Waltham Forest","Walthamstow",328,"Walthamstow","1122333413344",47.4631588673684,0.06
"Friday","7",-0.0225,51.585,2012-03-30,"False Alarm","Waltham Forest","Walthamstow",292,"Walthamstow","1122333413344",47.4631588673684,0.06
"Friday","7",-0.0195,51.585,2012-07-20,"Fire","Waltham Forest","Walthamstow",307,"Walthamstow","1122333413344",47.4631588673684,0.06
"Friday","9",-0.0225,51.584,2010-07-09,"Fire","Waltham Forest","Walthamstow",510,"Leyton","1122333413344",87.946441430712,0.06
"Friday","9",-0.0225,51.585,2009-03-27,"Fire","Waltham Forest","Walthamstow",242,"Walthamstow","1122333413344",87.946441430712,0.07
"Friday","11",-0.021,51.586,2010-12-24,"False Alarm","Waltham Forest","Walthamstow",520,"Walthamstow","1122333413344",120.751860059628,0.07
"Friday","12",-0.018,51.584,2010-07-23,"False Alarm","Waltham Forest","Walthamstow",539,"Homerton","1122333413344",128.429723994056,0.07
"Friday","13",-0.021,51.586,2010-12-24,"Fire","Waltham Forest","Walthamstow",630,"Walthamstow","1122333413344",130.523686885263,0.07
"Friday","14",-0.018,51.584,2010-09-03,"Fire","Waltham Forest","Walthamstow",296,"Walthamstow","1122333413344",113.073996125201,0.07
"Friday","15",-0.021,51.585,2009-08-28,"Special Service","Waltham Forest","Walthamstow",400,"Walthamstow","1122333413344",128.429723994056,0.07
"Friday","16",-0.0195,51.584,2010-05-28,"False Alarm","Waltham Forest","Walthamstow",541,"Walthamstow","1122333413344",133.315637406873,0.07
"Friday","18",-0.0225,51.584,2010-05-28,"False Alarm","Waltham Forest","Walthamstow",588,"Walthamstow","1122333413344",133.315637406873,0.07
"Friday","20",-0.0195,51.585,2009-09-25,"False Alarm","Waltham Forest","Walthamstow",87,"Walthamstow","1122333413344",115.865946646811,0.1
"Friday","21",-0.021,51.585,2009-08-07,"Special Service","Waltham Forest","Walthamstow",351,"Walthamstow","1122333413344",77.4766269746748,0.07
"Friday","23",-0.021,51.586,2011-07-01,"False Alarm","Waltham Forest","Walthamstow",519,"Walthamstow","1122333413344",53.0470599105882,0.06
"Monday","0",-0.0225,51.586,2010-12-27,"Special Service","Waltham Forest","Walthamstow",644,"Walthamstow","1122333413344",25.8255423248916,0.05
"Monday","4",-0.0225,51.584,2009-04-27,"Fire","Waltham Forest","Walthamstow",389,"Walthamstow","1122333413344",16.0537154992569,0.04
