"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","14",-0.1485,51.475,2011-07-15,"Fire","Wandsworth","Battersea",281,"Battersea","11223342312224",90,0.07
"Friday","14",-0.1485,51.475,2011-07-15,"Fire","Wandsworth","Battersea",281,"Battersea","11223342312224",195,0.08
"Friday","17",-0.15,51.473,2009-10-23,"Special Service","Wandsworth","Battersea",303,"Clapham","11223342312224",454,0.1
"Friday","17",-0.15,51.473,2009-10-23,"Special Service","Wandsworth","Battersea",303,"Clapham","11223342312224",166,0.08
"Friday","17",-0.15,51.474,2010-01-15,"False Alarm","Wandsworth","Battersea",277,"Clapham","11223342312224",454,0.1
"Friday","17",-0.15,51.474,2010-01-15,"False Alarm","Wandsworth","Battersea",277,"Clapham","11223342312224",166,0.08
"Friday","17",-0.1485,51.474,2010-02-12,"Fire","Wandsworth","Battersea",337,"Battersea","11223342312224",454,0.09
"Friday","17",-0.1485,51.474,2010-02-12,"Fire","Wandsworth","Battersea",337,"Battersea","11223342312224",166,0.08
"Friday","19",-0.147,51.473,2011-12-23,"Special Service","Wandsworth","Clapham",223,"Clapham","11223342312224",285,0.09
"Friday","19",-0.147,51.473,2011-12-23,"Special Service","Wandsworth","Clapham",223,"Clapham","11223342312224",245,0.09
"Friday","23",-0.1485,51.475,2009-03-06,"False Alarm","Wandsworth","Battersea",300,"Battersea","11223342312224",103,0.07
"Friday","23",-0.1485,51.475,2009-03-06,"False Alarm","Wandsworth","Battersea",300,"Battersea","11223342312224",164,0.08
"Friday","23",-0.1485,51.475,2010-02-05,"Fire","Wandsworth","Battersea",234,"Battersea","11223342312224",103,0.08
"Friday","23",-0.1485,51.475,2010-02-05,"Fire","Wandsworth","Battersea",234,"Battersea","11223342312224",164,0.08
"Friday","5",-0.147,51.474,2010-07-09,"False Alarm","Wandsworth","Clapham",383,"Clapham","11223342312224",40,0.06
"Friday","5",-0.147,51.474,2010-07-09,"False Alarm","Wandsworth","Clapham",383,"Clapham","11223342312224",29,0.05
"Monday","12",-0.15,51.473,2009-02-09,"False Alarm","Wandsworth","Battersea",441,"Battersea","11223342312224",132,0.07
"Monday","12",-0.15,51.473,2009-02-09,"False Alarm","Wandsworth","Battersea",441,"Battersea","11223342312224",84,0.07
"Monday","17",-0.1485,51.475,2009-06-01,"Fire","Wandsworth","Battersea",260,"Battersea","11223342312224",404,0.1
"Monday","17",-0.1485,51.475,2009-06-01,"Fire","Wandsworth","Battersea",260,"Battersea","11223342312224",103,0.07
"Monday","18",-0.147,51.474,2010-09-20,"False Alarm","Wandsworth","Clapham",225,"Clapham","11223342312224",533,0.1
"Monday","18",-0.147,51.474,2010-09-20,"False Alarm","Wandsworth","Clapham",225,"Clapham","11223342312224",127,0.08
"Monday","7",-0.1485,51.475,2013-03-18,"Special Service","Wandsworth","Battersea",345,"Battersea","11223342312224",406,0.09
"Monday","7",-0.1485,51.475,2013-03-18,"Special Service","Wandsworth","Battersea",345,"Battersea","11223342312224",127,0.07
"Monday","7",-0.15,51.473,2012-01-09,"False Alarm","Wandsworth","Battersea",298,"Battersea","11223342312224",406,0.09
"Monday","7",-0.15,51.473,2012-01-09,"False Alarm","Wandsworth","Battersea",298,"Battersea","11223342312224",127,0.08
"Monday","8",-0.15,51.473,2011-03-21,"Special Service","Wandsworth","Battersea",345,"Battersea","11223342312224",211,0.08
"Monday","8",-0.15,51.473,2011-03-21,"Special Service","Wandsworth","Battersea",345,"Battersea","11223342312224",847,0.1
"Saturday","0",-0.15,51.474,2012-12-29,"Fire","Wandsworth","Battersea",254,"Clapham","11223342312224",69,0.07
"Saturday","0",-0.15,51.474,2012-12-29,"Fire","Wandsworth","Battersea",254,"Clapham","11223342312224",103,0.08
"Saturday","1",-0.15,51.474,2010-09-11,"False Alarm","Wandsworth","Battersea",335,"Battersea","11223342312224",58,0.06
"Saturday","1",-0.15,51.474,2010-09-11,"False Alarm","Wandsworth","Battersea",335,"Battersea","11223342312224",47,0.06
"Saturday","1",-0.147,51.474,2012-08-25,"Special Service","Wandsworth","Clapham",303,"Clapham","11223342312224",58,0.06
"Saturday","1",-0.147,51.474,2012-08-25,"Special Service","Wandsworth","Clapham",303,"Clapham","11223342312224",47,0.06
"Saturday","16",-0.1485,51.475,2013-02-09,"Fire","Wandsworth","Battersea",270,"Battersea","11223342312224",203,0.09
"Saturday","16",-0.1485,51.475,2013-02-09,"Fire","Wandsworth","Battersea",270,"Battersea","11223342312224",74,0.07
"Saturday","16",-0.15,51.474,2010-01-23,"Fire","Wandsworth","Battersea",234,"Clapham","11223342312224",203,0.09
"Saturday","16",-0.15,51.474,2010-01-23,"Fire","Wandsworth","Battersea",234,"Clapham","11223342312224",74,0.07
"Saturday","17",-0.1485,51.475,2010-01-09,"Fire","Wandsworth","Battersea",243,"Battersea","11223342312224",84,0.07
"Saturday","17",-0.1485,51.475,2010-01-09,"Fire","Wandsworth","Battersea",243,"Battersea","11223342312224",227,0.09
"Saturday","17",-0.147,51.474,2011-10-29,"Fire","Wandsworth","Clapham",246,"Clapham","11223342312224",84,0.07
"Saturday","17",-0.147,51.474,2011-10-29,"Fire","Wandsworth","Clapham",246,"Clapham","11223342312224",227,0.09
"Saturday","18",-0.1485,51.474,2013-03-30,"Special Service","Wandsworth","Battersea",417,"Battersea","11223342312224",84,0.07
"Saturday","18",-0.1485,51.474,2013-03-30,"Special Service","Wandsworth","Battersea",417,"Battersea","11223342312224",230,0.08
"Saturday","20",-0.15,51.474,2013-01-26,"Special Service","Wandsworth","Battersea",220,"Battersea","11223342312224",150,0.08
"Saturday","20",-0.15,51.474,2013-01-26,"Special Service","Wandsworth","Battersea",220,"Battersea","11223342312224",79,0.07
"Saturday","21",-0.15,51.474,2009-04-04,"Fire","Wandsworth","Battersea",400,"Chelsea","11223342312224",61,0.06
"Saturday","21",-0.15,51.474,2009-04-04,"Fire","Wandsworth","Battersea",400,"Chelsea","11223342312224",121,0.07
"Sunday","10",-0.1485,51.474,2009-06-14,"Special Service","Wandsworth","Battersea",244,"Battersea","11223342312224",129,0.08
"Sunday","10",-0.1485,51.474,2009-06-14,"Special Service","Wandsworth","Battersea",244,"Battersea","11223342312224",77,0.07
"Sunday","12",-0.1485,51.475,2009-02-22,"Special Service","Wandsworth","Battersea",270,"Clapham","11223342312224",87,0.07
"Sunday","12",-0.1485,51.475,2009-02-22,"Special Service","Wandsworth","Battersea",270,"Clapham","11223342312224",164,0.08
"Sunday","13",-0.15,51.474,2012-09-02,"False Alarm","Wandsworth","Battersea",243,"Clapham","11223342312224",77,0.07
"Sunday","13",-0.15,51.474,2012-09-02,"False Alarm","Wandsworth","Battersea",243,"Clapham","11223342312224",142,0.08
"Sunday","14",-0.1485,51.475,2009-11-22,"Fire","Wandsworth","Battersea",280,"Clapham","11223342312224",82,0.07
"Sunday","14",-0.1485,51.475,2009-11-22,"Fire","Wandsworth","Battersea",280,"Clapham","11223342312224",129,0.08
"Sunday","16",-0.1485,51.474,2011-08-21,"Special Service","Wandsworth","Battersea",327,"Battersea","11223342312224",148,0.08
"Sunday","16",-0.1485,51.474,2011-08-21,"Special Service","Wandsworth","Battersea",327,"Battersea","11223342312224",79,0.07
"Sunday","17",-0.1485,51.475,2010-11-14,"Fire","Wandsworth","Battersea",234,"Clapham","11223342312224",137,0.08
